PeakID (cmd=annotatePeaks.pl HIOE_NEUROD1/HIOE_NEUROD1_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr19-23	chr19	41847530	41847858	+	14.7	0.833	intron (NM_000660, intron 5 of 6)	intron (NM_000660, intron 5 of 6)	12133	NM_000660	7040	Hs.645227	NM_000660	ENSG00000105329	TGFB1	CED|DPD1|IBDIMDE|LAP|TGFB|TGFbeta	transforming growth factor beta 1	protein-coding
chr20-14	chr20	23168342	23168670	+	14.7	0.833	Intergenic	Intergenic	-55233	NR_034149	200261	Hs.352228	NM_182535	ENSG00000233746	LINC00656	-	long intergenic non-protein coding RNA 656	ncRNA
chr9_gl000199_random-12	chr9_gl000199_random	137941	138269	+	14.7	0.935	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr20-16	chr20	9059708	9060036	+	14.7	0.812	intron (NM_001172646, intron 1 of 37)	LTR33|LTR|ERVL	10171	NM_001172646	5332	Hs.472101	NM_000933	ENSG00000101333	PLCB4	ARCND2|PI-PLC	phospholipase C beta 4	protein-coding
chr11-35	chr11	119862361	119862689	+	14.7	0.811	Intergenic	Intergenic	137036	NM_001330382	23650	Hs.504115	NM_012101	ENSG00000137699	TRIM29	ATDC	tripartite motif containing 29	protein-coding
chr16-51	chr16	4349040	4349368	+	14.7	0.769	Intergenic	Intergenic	-15558	NM_001318918	84662	Hs.592087	NM_032575	ENSG00000126603	GLIS2	NKL|NPHP7	GLIS family zinc finger 2	protein-coding
chr1-79	chr1	224691104	224691432	+	14.7	0.757	intron (NM_001322302, intron 2 of 6)	intron (NM_001322302, intron 2 of 6)	68717	NR_136294	149111	Hs.731723	NM_152495	ENSG00000143786	CNIH3	CNIH-3	cornichon family AMPA receptor auxiliary protein 3	protein-coding
chr2-57	chr2	95969271	95969599	+	14.7	0.800	intron (NM_013434, intron 1 of 8)	intron (NM_013434, intron 1 of 8)	6340	NM_013434	30818	Hs.437376	NM_013434	ENSG00000115041	KCNIP3	CSEN|DREAM|KCHIP3	potassium voltage-gated channel interacting protein 3	protein-coding
chr5-10	chr5	171885981	171886309	+	14.7	0.857	Intergenic	L2b|LINE|L2	-4616	NM_001017995	285590	Hs.285666	NM_001017995	ENSG00000174705	SH3PXD2B	FAD49|FTHS|HOFI|KIAA1295|TKS4|TSK4	SH3 and PX domains 2B	protein-coding
chr1-73	chr1	150540153	150540481	+	14.7	0.848	intron (NR_104133, intron 2 of 3)	intron (NR_104133, intron 2 of 3)	6711	NR_104133	574406	Hs.516243	NM_001025493	ENSG00000203804	ADAMTSL4-AS1	C1orf138	ADAMTSL4 antisense RNA 1	ncRNA
chr16-54	chr16	1128435	1128763	+	14.7	0.806	promoter-TSS (NM_001053)	promoter-TSS (NM_001053)	132	NR_027242	146336	Hs.250557	NM_182510	ENSG00000261713	SSTR5-AS1	-	SSTR5 antisense RNA 1	ncRNA
chr15-19	chr15	86369062	86369390	+	14.7	0.882	TTS (NR_049805)	TTS (NR_049805)	360	NR_049805	100847084		NR_049805	ENSG00000264406	MIR548AP	-	microRNA 548ap	ncRNA
chr3-22	chr3	134069712	134070040	+	14.7	0.788	Intergenic	Intergenic	16828	NR_106885	102466744		NR_106885	ENSG00000277723	MIR6827	hsa-mir-6827	microRNA 6827	ncRNA
chr18-12	chr18	74846067	74846395	+	14.7	0.857	Intergenic	Intergenic	-1492	NM_001025101	4155	Hs.551713	NM_002385	ENSG00000197971	MBP	-	myelin basic protein	protein-coding
chr3-19	chr3	72204566	72204894	+	14.7	0.757	intron (NR_038221, intron 1 of 2)	intron (NR_038221, intron 1 of 2)	4322	NR_038221	201617	Hs.382623	NR_038221	ENSG00000243083	LINC00870	-	long intergenic non-protein coding RNA 870	ncRNA
chr14-21	chr14	54605446	54605774	+	14.2	0.839	Intergenic	Intergenic	-182001	NM_001347913	652	Hs.68879	NM_001202	ENSG00000125378	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4	protein-coding
chr9-35	chr9	136399108	136399436	+	14.2	0.806	promoter-TSS (NM_014694)	promoter-TSS (NM_014694)	-554	NM_014694	9719	Hs.522543	NM_014694	ENSG00000197859	ADAMTSL2	ADAMTSL-2|GPHYSD1	ADAMTS like 2	protein-coding
chr7-23	chr7	47610888	47611216	+	14.2	0.789	intron (NM_022748, intron 1 of 30)	intron (NM_022748, intron 1 of 30)	10657	NM_022748	64759	Hs.520814	NM_022748	ENSG00000136205	TNS3	TEM6|TENS1	tensin 3	protein-coding
chr17-65	chr17	7146270	7146598	+	14.2	0.818	promoter-TSS (NM_007278)	promoter-TSS (NM_007278)	-666	NM_007278	11337	Hs.647421	NM_007278	ENSG00000170296	GABARAP	ATG8A|GABARAP-a|MM46	GABA type A receptor-associated protein	protein-coding
chr5-13	chr5	160056037	160056365	+	14.2	0.818	intron (NM_001366657, intron 12 of 24)	intron (NM_001366657, intron 12 of 24)	56197	NM_001366658	23120	Hs.109358	NM_025153	ENSG00000118322	ATP10B	ATPVB	ATPase phospholipid transporting 10B (putative)	protein-coding
chr3-18	chr3	10378890	10379218	+	14.2	0.711	intron (NM_001330611, intron 19 of 21)	intron (NM_001330611, intron 19 of 21)	7141	NR_036084	100422933		NR_036084	ENSG00000264534	MIR378B	-	microRNA 378b	ncRNA
chr1-75	chr1	96976503	96976831	+	14.2	0.906	Intergenic	Intergenic	-136986	NR_110693	101928241	Hs.514137	NR_110693	ENSG00000231987	LINC01787	-	long intergenic non-protein coding RNA 1787	ncRNA
chrUn_gl000231-1	chrUn_gl000231	24065	24393	+	14.2	0.632	NA	AluYk4|SINE|Alu	NA	NA								
chr21-19	chr21	45585591	45585919	+	14.2	0.750	Intergenic	Intergenic	-6010	NR_146631	105377138		NR_146631		LINC01678	-	long intergenic non-protein coding RNA 1678	ncRNA
chr9-28	chr9	100987450	100987778	+	14.2	0.765	intron (NR_051978, intron 4 of 11)	intron (NR_051978, intron 4 of 11)	3885	NR_106913	102465514		NR_106913	ENSG00000278412	MIR6854	hsa-mir-6854	microRNA 6854	ncRNA
chr7-27	chr7	143102205	143102533	+	14.2	0.879	intron (NM_005232, intron 2 of 17)	intron (NM_005232, intron 2 of 17)	-2537	NR_033897	285965	Hs.642649	NR_033897	ENSG00000229153	EPHA1-AS1	-	EPHA1 antisense RNA 1	ncRNA
chr11-38	chr11	134386524	134386852	+	14.2	0.812	Intergenic	Intergenic	80312	NR_033852	283177	Hs.504390	NR_033852		LOC283177	-	uncharacterized LOC283177	ncRNA
chr10-44	chr10	87623892	87624220	+	14.2	0.861	intron (NM_017551, intron 6 of 15)	intron (NM_017551, intron 6 of 15)	286568	NR_038986	100507470	Hs.585483	NR_038986	ENSG00000234942	GRID1-AS1	-	GRID1 antisense RNA 1	ncRNA
chr6-31	chr6	49874218	49874546	+	14.2	0.774	Intergenic	Intergenic	-29573	NM_001205220	167	Hs.109620	NM_001131	ENSG00000124812	CRISP1	AEGL1|ARP|CRISP-1|HEL-S-57|HSCRISP1D|HSCRISP1G|HUMARP	cysteine rich secretory protein 1	protein-coding
chr5-11	chr5	179034610	179034938	+	14.2	0.853	intron (NM_001040452, intron 17 of 17)	intron (NM_001040452, intron 17 of 17)	-4032	NR_110560	101928445	Hs.663255	NR_110560	ENSG00000244945	LOC101928445	-	uncharacterized LOC101928445	ncRNA
chr19-28	chr19	45664047	45664375	+	14.2	0.824	promoter-TSS (NM_198478)	promoter-TSS (NM_198478)	-803	NM_198478	284353	Hs.299256	NM_198478		NKPD1	-	NTPase KAP family P-loop domain containing 1	protein-coding
chr1-81	chr1	41450859	41451187	+	14.2	0.844	intron (NM_001905, intron 3 of 18)	intron (NM_001905, intron 3 of 18)	-3168	NM_001301237	1503	Hs.473087	NM_001905	ENSG00000171793	CTPS1	CTPS|GATD5|IMD24	CTP synthase 1	protein-coding
chr14-22	chr14	65016689	65017017	+	14.2	0.694	intron (NM_172365, intron 1 of 11)	CpG	174	NM_172365	145376	Hs.144696	NM_172365	ENSG00000165807	PPP1R36	C14orf50	protein phosphatase 1 regulatory subunit 36	protein-coding
chr17-52	chr17	48600682	48601010	+	14.2	0.886	intron (NM_001366294, intron 11 of 18)	MER81|DNA|hAT-Blackjack	-9250	NM_017957	55040	Hs.670090	NM_017957	ENSG00000049283	EPN3	-	epsin 3	protein-coding
chr15-15	chr15	40660458	40660786	+	14.2	0.744	exon (NM_033510, exon 8 of 8)	exon (NM_033510, exon 8 of 8)	10202	NM_033510	85455	Hs.355645	NM_033510	ENSG00000140323	DISP2	C15orf36|DISPB|HsT16908|LINC00594	dispatched RND transporter family member 2	protein-coding
chr6-35	chr6	33596401	33596729	+	14.2	0.750	intron (NM_002224, intron 1 of 57)	intron (NM_002224, intron 1 of 57)	4957	NR_134628	101929188	Hs.658327	NR_134628		LOC101929188	-	uncharacterized LOC101929188	ncRNA
chr9-32	chr9	95571039	95571367	+	14.2	0.788	promoter-TSS (NR_136301)	promoter-TSS (NR_136301)	-690	NR_026868	138649	Hs.643597	NM_001010925	ENSG00000187984	ANKRD19P	ANKRD19|bA526D8.2	ankyrin repeat domain 19, pseudogene	pseudo
chr10-52	chr10	112578113	112578441	+	14.2	0.844	intron (NM_001134363, intron 9 of 13)	intron (NM_001134363, intron 9 of 13)	52385	NR_026932	282997	Hs.599931	NR_026932		PDCD4-AS1	-	PDCD4 antisense RNA 1	ncRNA
chr18-15	chr18	77894487	77894815	+	14.2	0.722	exon (NM_014913, exon 4 of 4)	exon (NM_014913, exon 4 of 4)	-11156	NR_028339	100130522	Hs.352602	NM_001145731	ENSG00000267270	PARD6G-AS1	-	PARD6G antisense RNA 1	ncRNA
chr3-29	chr3	142338015	142338343	+	14.2	0.875	intron (NM_001145319, intron 1 of 15)	intron (NM_001145319, intron 1 of 15)	-4087	NM_002670	5357	Hs.203637	NM_002670	ENSG00000120756	PLS1	-	plastin 1	protein-coding
chr8-27	chr8	104153508	104153836	+	14.2	0.788	promoter-TSS (NR_027071)	promoter-TSS (NR_027071)	-102	NR_027071	157556	Hs.459124	NM_198099	ENSG00000236939	BAALC-AS2	BAALCOS|C8orf56	BAALC antisense RNA 2	ncRNA
chr14-19	chr14	103578945	103579273	+	14.2	0.789	Intergenic	Intergenic	10137	NR_138038	105370683	Hs.252904	NR_138038	ENSG00000259717	LINC00677	C14orf74	long intergenic non-protein coding RNA 677	ncRNA
chr8-30	chr8	141018651	141018979	+	14.2	0.694	intron (NM_001160372, intron 18 of 22)	intron (NM_001160372, intron 18 of 22)	91819	NR_144431	359809	Hs.26814	NR_144431	ENSG00000282164	PEG13	-	paternally expressed 13	ncRNA
chr19-26	chr19	51003625	51003953	+	14.2	0.833	Intergenic	Intergenic	10659	NM_138334	126119	Hs.467151	NM_138334	ENSG00000161677	JOSD2	SBBI54	Josephin domain containing 2	protein-coding
chr1-71	chr1	221915489	221915817	+	14.2	0.737	promoter-TSS (NM_007207)	promoter-TSS (NM_007207)	-135	NR_111940	11221	Hs.497822	NM_007207	ENSG00000143507	DUSP10	MKP-5|MKP5	dual specificity phosphatase 10	protein-coding
chr20-20	chr20	21515180	21515508	+	14.2	0.844	Intergenic	Intergenic	-20642	NM_002509	4821	Hs.516922	NM_002509	ENSG00000125820	NKX2-2	NKX2.2|NKX2B	NK2 homeobox 2	protein-coding
chr6-24	chr6	170595562	170595890	+	14.2	0.806	intron (NM_005618, intron 4 of 10)	intron (NM_005618, intron 4 of 10)	-4065	NM_001286379	84498	Hs.369522	NM_032448	ENSG00000112584	FAM120B	CCPG|KIAA1838|PGCC1|SAN1|dJ894D12.1	family with sequence similarity 120B	protein-coding
chr14-18	chr14	21072135	21072463	+	14.2	0.775	intron (NR_122043, intron 4 of 4)	HERVL18-int|LTR|ERVL	-13317	NM_001024822	493901	Hs.729466	NM_001024822	ENSG00000258436	RNASE12	HEL-S-85p|RAI1	ribonuclease A family member 12 (inactive)	protein-coding
chr18-17	chr18	9848269	9848597	+	14.2	0.765	intron (NM_006868, intron 6 of 6)	(TCTG)n|Simple_repeat|Simple_repeat	-37537	NM_032243	84203	Hs.98712	NM_032243	ENSG00000168454	TXNDC2	SPTRX|SPTRX1	thioredoxin domain containing 2	protein-coding
chr12-15	chr12	57882388	57882716	+	14.2	0.848	promoter-TSS (NM_001319850)	promoter-TSS (NM_001319850)	55	NM_001319850	64333	Hs.437126	NM_032496	ENSG00000123329	ARHGAP9	10C|RGL1	Rho GTPase activating protein 9	protein-coding
chr8-28	chr8	73786800	73787128	+	14.2	0.794	intron (NM_004770, intron 2 of 2)	intron (NM_004770, intron 2 of 2)	-134135	NM_017489	7013	Hs.442707	NM_003218	ENSG00000147601	TERF1	PIN2|TRBF1|TRF|TRF1|hTRF1-AS|t-TRF1	telomeric repeat binding factor 1	protein-coding
chr10-49	chr10	114809621	114809949	+	14.2	0.743	intron (NM_001146284, intron 4 of 12)	intron (NM_001146284, intron 4 of 12)	4671	NR_132769	106635520		NR_132769		SNORA87	-	small nucleolar RNA, H/ACA box 87	snoRNA
chr15-25	chr15	68076688	68077016	+	14.2	0.794	intron (NM_002757, intron 20 of 20)	intron (NM_002757, intron 20 of 20)	-40995	NM_001365915	390598	Hs.451224	NM_001031807	ENSG00000188779	SKOR1	CORL1|FUSSEL15|LBXCOR1	SKI family transcriptional corepressor 1	protein-coding
chr16-61	chr16	85187464	85187792	+	14.2	0.889	Intergenic	Intergenic	16872	NR_033984	400548	Hs.592054	NR_033984	ENSG00000278214	LINC02139	-	long intergenic non-protein coding RNA 2139	ncRNA
chr19-29	chr19	372330	372658	+	14.2	0.758	intron (NM_199202, intron 4 of 6)	intron (NM_199202, intron 4 of 6)	3532	NM_016585	51298	Hs.250002	NM_016585	ENSG00000105549	THEG	CT56|THEG1	theg spermatid protein	protein-coding
chr1-72	chr1	156822306	156822634	+	14.2	0.744	intron (NM_014215, intron 2 of 21)	intron (NM_014215, intron 2 of 21)	6439	NM_014215	3645	Hs.248138	NM_014215	ENSG00000027644	INSRR	IRR	insulin receptor related receptor	protein-coding
chr20-21	chr20	57987460	57987788	+	14.2	0.806	Intergenic	Intergenic	111958	NM_207033	1908	Hs.1408	NM_000114	ENSG00000124205	EDN3	ET-3|ET3|HSCR4|PPET3|WS4B	endothelin 3	protein-coding
chr10-46	chr10	49759764	49760092	+	14.2	0.806	intron (NR_144642, intron 3 of 9)	intron (NR_144642, intron 3 of 9)	-40296	NR_146782	100689073	Hs.667964	NR_146782		ARHGAP22-IT1	-	ARHGAP22 intronic transcript 1	ncRNA
chr22-21	chr22	50294810	50295138	+	14.2	0.853	3' UTR (NM_024105, exon 10 of 10)	3' UTR (NM_024105, exon 10 of 10)	17112	NM_024105	79087	Hs.526711	NM_024105	ENSG00000182858	ALG12	CDG1G|ECM39|PP14673|hALG12	ALG12 alpha-1,6-mannosyltransferase	protein-coding
chr22-22	chr22	23657503	23657831	+	14.2	0.722	exon (NM_021574, exon 22 of 22)	exon (NM_021574, exon 22 of 22)	-11136	NR_149133	102724679	Hs.517462	NR_149133	ENSG00000236611	LINC02556	-	long intergenic non-protein coding RNA 2556	ncRNA
chr3-23	chr3	126263583	126263911	+	14.2	0.737	intron (NR_130715, intron 4 of 5)	intron (NR_130715, intron 4 of 5)	14028	NM_152533	152065	Hs.178210	NM_152533	ENSG00000180697	C3orf22	-	chromosome 3 open reading frame 22	protein-coding
chr3-16	chr3	45959005	45959333	+	14.2	0.714	TTS (NM_024513)	TTS (NM_024513)	-1953	NM_001276379	54585	Hs.30824	NM_020347	ENSG00000163818	LZTFL1	BBS17	leucine zipper transcription factor like 1	protein-coding
chr15-23	chr15	89114692	89115020	+	14.2	0.657	Intergenic	Intergenic	-24922	NM_017996	55070	Hs.655064	NM_017996	ENSG00000140543	DET1	-	DET1 partner of COP1 E3 ubiquitin ligase	protein-coding
chr17-50	chr17	64825887	64826215	+	14.2	0.686	Intergenic	Intergenic	-5184	NM_145811	27091	Hs.278907	NM_014404	ENSG00000075429	CACNG5	-	calcium voltage-gated channel auxiliary subunit gamma 5	protein-coding
chr6-27	chr6	65640590	65640918	+	14.2	0.914	intron (NM_001292009, intron 15 of 43)	UCON31|Unknown|Unknown	-370557	NM_001271675	441155	Hs.546686	NM_001271675		LOC441155	-	zinc finger CCCH-type domain-containing-like	protein-coding
chr11-37	chr11	12787002	12787330	+	14.2	0.758	intron (NM_021961, intron 3 of 12)	intron (NM_021961, intron 3 of 12)	91198	NM_021961	7003	Hs.655331	NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
chr17-64	chr17	40688937	40689265	+	14.2	0.765	intron (NM_000263, intron 1 of 5)	intron (NM_000263, intron 1 of 5)	842	NM_000263	4669	Hs.50727	NM_000263	ENSG00000108784	NAGLU	CMT2V|MPS-IIIB|MPS3B|NAG|UFHSD	N-acetyl-alpha-glucosaminidase	protein-coding
chr15-21	chr15	41219710	41220038	+	14.2	0.853	Intergenic	CpG	-1664	NM_019074	54567	Hs.511076	NM_019074	ENSG00000128917	DLL4	AOS6|delta4|hdelta2	delta like canonical Notch ligand 4	protein-coding
chr11-36	chr11	2232303	2232631	+	14.2	0.765	Intergenic	Intergenic	38174	NR_039834	100616126		NR_039834	ENSG00000265258	MIR4686	-	microRNA 4686	ncRNA
chr7-28	chr7	27626389	27626717	+	14.2	0.875	intron (NM_152740, intron 4 of 7)	intron (NM_152740, intron 4 of 7)	-29040	NR_122122	790953	Hs.571330	NR_122122		TSL	-	testis-expressed, seven-twelve, leukemia	ncRNA
chr16-58	chr16	4993348	4993676	+	13.7	0.781	Intergenic	Intergenic	-6363	NM_002705	5493	Hs.192233	NM_002705	ENSG00000118898	PPL	-	periplakin	protein-coding
chr4-27	chr4	3486723	3487051	+	13.7	0.794	intron (NM_001256896, intron 1 of 3)	intron (NM_001256896, intron 1 of 3)	616	NM_001256896	285489	Hs.122110	NM_173660	ENSG00000175920	DOK7	C4orf25|CMS10|CMS1B|FADS3	docking protein 7	protein-coding
chr14-20	chr14	105264002	105264330	+	13.7	0.765	Intergenic	Intergenic	-2081	NM_001014431	207	Hs.525622	NM_005163	ENSG00000142208	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	AKT serine/threonine kinase 1	protein-coding
chr1-89	chr1	29736956	29737284	+	13.7	0.818	Intergenic	Helitron3Na_Mam|RC|Helitron	-60494	NR_110758	101928460	Hs.434659	NR_110758	ENSG00000230523	LINC01756	-	long intergenic non-protein coding RNA 1756	ncRNA
chr22-23	chr22	33276879	33277207	+	13.7	0.848	intron (NM_133633, intron 3 of 11)	intron (NM_133633, intron 3 of 11)	80241	NM_000362	7078	Hs.644633	NM_000362	ENSG00000100234	TIMP3	HSMRK222|K222|K222TA2|SFD	TIMP metallopeptidase inhibitor 3	protein-coding
chr15-30	chr15	89873446	89873774	+	13.7	0.774	intron (NM_001126131, intron 2 of 22)	intron (NM_001126131, intron 2 of 22)	-3569	NR_106824	102466983		NR_106824	ENSG00000275101	MIR6766	hsa-mir-6766	microRNA 6766	ncRNA
chr3-26	chr3	129285870	129286198	+	13.7	0.639	intron (NM_015103, intron 22 of 35)	intron (NM_015103, intron 22 of 35)	18806	NM_001308262	132243	Hs.97358	NM_153833	ENSG00000178804	H1FOO	H1.8|H1oo|osH1	H1 histone family member O oocyte specific	protein-coding
chr1-96	chr1	111007767	111008095	+	13.7	0.806	Intergenic	Intergenic	14160	NM_032414	84432	Hs.514793	NM_032414	ENSG00000143125	PROK1	EGVEGF|PK1|PRK1	prokineticin 1	protein-coding
chr10-50	chr10	81014806	81015134	+	13.7	0.758	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-92255	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
chr15-27	chr15	90701492	90701820	+	13.7	0.771	Intergenic	Intergenic	-26496	NM_020210	10509	Hs.474935	NM_020210	ENSG00000185033	SEMA4B	SEMAC|SemC	semaphorin 4B	protein-coding
chr18-16	chr18	47271580	47271908	+	13.7	0.781	Intergenic	Intergenic	68159	NM_006111	10449	Hs.200136	NM_006111	ENSG00000167315	ACAA2	DSAEC	acetyl-CoA acyltransferase 2	protein-coding
chr13-8	chr13	27541434	27541762	+	13.7	0.722	Intergenic	Intergenic	-158072	NR_046547	100874070	Hs.524923	NR_046547		USP12-AS1	-	USP12 antisense RNA 1	ncRNA
chr4-29	chr4	1201710	1202038	+	13.7	0.781	intron (NR_024569, intron 1 of 3)	intron (NR_024569, intron 1 of 3)	876	NR_024569	100130872	Hs.302963	NR_024569		LOC100130872	-	uncharacterized LOC100130872	ncRNA
chr3-24	chr3	141868342	141868670	+	13.7	0.853	promoter-TSS (NM_001178138)	promoter-TSS (NM_001178138)	-120	NM_001178138	7029	Hs.379018	NM_006286	ENSG00000114126	TFDP2	DP2	transcription factor Dp-2	protein-coding
chr3-25	chr3	38045895	38046223	+	13.7	0.727	intron (NM_001370264, intron 13 of 16)	intron (NM_001370264, intron 13 of 16)	10430	NR_163267	50853	Hs.103665	NM_015873	ENSG00000136059	VILL	-	villin like	protein-coding
chr8-25	chr8	224258	224586	+	13.7	0.844	Intergenic	Intergenic	41966	NM_001042416	169270	Hs.591388	NM_173539	ENSG00000172748	ZNF596	-	zinc finger protein 596	protein-coding
chr2-72	chr2	160678771	160679099	+	13.7	0.897	intron (NM_002349, intron 28 of 34)	L1PA7|LINE|L1	-24169	NM_001198763	9936	Hs.130014	NM_014880	ENSG00000241399	CD302	BIMLEC|CLEC13A|DCL-1|DCL1	CD302 molecule	protein-coding
chr9-40	chr9	66493819	66494147	+	13.7	0.758	promoter-TSS (NR_024496)	promoter-TSS (NR_024496)	187	NR_135128	100132249	Hs.536982	NR_135128		LOC100132249	-	uncharacterized LOC100132249	ncRNA
chr7-34	chr7	22473394	22473722	+	13.7	0.774	intron (NM_207342, intron 4 of 4)	intron (NM_207342, intron 4 of 4)	66343	NM_001164460	256227	Hs.729825	NM_207342	ENSG00000105889	STEAP1B	-	STEAP family member 1B	protein-coding
chr16-65	chr16	2032121	2032449	+	13.7	0.818	promoter-TSS (NM_001267721)	promoter-TSS (NM_001267721)	-815	NM_172167	124056	Hs.191762	NM_144603	ENSG00000196408	NOXO1	P41NOX|P41NOXA|P41NOXB|P41NOXC|SH3PXD5|SNX28	NADPH oxidase organizer 1	protein-coding
chr8-26	chr8	10916837	10917165	+	13.7	0.789	intron (NM_173683, intron 1 of 2)	CpG	7598	NR_134308	101929269	Hs.680442	NR_134308	ENSG00000254839	LOC101929269	-	uncharacterized LOC101929269	ncRNA
chr2-65	chr2	206604297	206604625	+	13.7	0.935	intron (NM_018534, intron 7 of 15)	intron (NM_018534, intron 7 of 15)	57236	NM_201266	8828	Hs.471200	NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
chr6-25	chr6	170606312	170606640	+	13.7	0.707	intron (NM_001286380, intron 1 of 10)	CpG	2067	NM_001286380	84498	Hs.369522	NM_032448	ENSG00000112584	FAM120B	CCPG|KIAA1838|PGCC1|SAN1|dJ894D12.1	family with sequence similarity 120B	protein-coding
chr7-30	chr7	44187039	44187367	+	13.7	0.806	promoter-TSS (NM_001354801)	promoter-TSS (NM_001354801)	-971	NM_001354801	2645	Hs.1270	NM_000162	ENSG00000106633	GCK	FGQTL3|GK|GLK|HHF3|HK4|HKIV|HXKP|LGLK|MODY2	glucokinase	protein-coding
chr15-26	chr15	78351835	78352163	+	13.7	0.844	intron (NM_015079, intron 1 of 12)	intron (NM_015079, intron 1 of 12)	17995	NM_144572	23102	Hs.567426	NM_015079	ENSG00000167202	TBC1D2B	-	TBC1 domain family member 2B	protein-coding
chr10-51	chr10	71869096	71869424	+	13.7	0.806	intron (NM_018649, intron 8 of 8)	intron (NM_018649, intron 8 of 8)	23321	NM_032797	84883	Hs.650680	NM_032797	ENSG00000042286	AIFM2	AMID|PRG3	apoptosis inducing factor mitochondria associated 2	protein-coding
chr11-40	chr11	17435794	17436122	+	13.7	0.818	intron (NR_147094, intron 19 of 37)	intron (NR_147094, intron 19 of 37)	-25065	NM_001166290	3767	Hs.248141	NM_000525	ENSG00000187486	KCNJ11	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|TNDM3	potassium voltage-gated channel subfamily J member 11	protein-coding
chr6-33	chr6	34512877	34513205	+	13.7	0.828	intron (NM_012391, intron 1 of 5)	intron (NM_012391, intron 1 of 5)	11065	NM_012391	25803	Hs.485158	NM_012391	ENSG00000124664	SPDEF	PDEF|bA375E1.3	SAM pointed domain containing ETS transcription factor	protein-coding
chr17-66	chr17	17571300	17571628	+	13.7	0.848	Intergenic	Intergenic	9538	NR_131243	105371564	Hs.369680	NR_131243	ENSG00000223979	SMCR2	TCONS_00025215	Smith-Magenis syndrome chromosome region, candidate 2	ncRNA
chr6-29	chr6	107240696	107241024	+	13.7	0.727	Intergenic	MLT2F|LTR|ERVL	-5444	NR_147986	100422737	Hs.634681	NR_015365	ENSG00000235142	LINC02532	-	long intergenic non-protein coding RNA 2532	ncRNA
chr7-35	chr7	73279407	73279735	+	13.7	0.750	exon (NM_182504, exon 2 of 3)	exon (NM_182504, exon 2 of 3)	4082	NM_182504	135886	Hs.647026	NM_182504	ENSG00000175877	TMEM270	WBSCR28	transmembrane protein 270	protein-coding
chr7-33	chr7	140241454	140241782	+	13.7	0.871	intron (NM_001318052, intron 13 of 18)	intron (NM_001318052, intron 13 of 18)	60724	NR_134477	27147	Hs.6385	NM_015689	ENSG00000146966	DENND2A	FAM31D|KIAA1277	DENN domain containing 2A	protein-coding
