PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-132	chr3	125899074	125899258	+	4.82	0.683	non-coding (NR_046383, exon 1 of 2)	non-coding (NR_046383, exon 1 of 2)	258	NR_046383	100862662	Hs.633362	NR_046383	ENSG00000246022	ALDH1L1-AS2	-	ALDH1L1 antisense RNA 2	ncRNA
chr9-236	chr9	97241799	97241983	+	4.82	0.683	Intergenic	REP522|Satellite|telo	-75436	NR_121566	101928099	Hs.674409	NR_121566		PCAT7	PCAN-R2	prostate cancer associated transcript 7	ncRNA
chr8-226	chr8	142212357	142212541	+	4.82	0.667	Intergenic	SVA_D|Other|Other	26224	NM_001286648	57210	Hs.372492	NM_001080431	ENSG00000022567	SLC45A4	-	solute carrier family 45 member 4	protein-coding
chr2-444	chr2	239631702	239631886	+	4.82	0.730	Intergenic	LTR12D|LTR|ERV1	124754	NR_157851	100287387	Hs.516864	NR_157851		LOC100287387	-	uncharacterized LOC100287387	ncRNA
chr4-328	chr4	77511502	77511686	+	4.82	0.730	intron (NM_020859, intron 2 of 10)	intron (NM_020859, intron 2 of 10)	14890	NR_039655	100616254		NR_039655	ENSG00000283682	MIR548AH	-	microRNA 548ah	ncRNA
chr18-76	chr18	77905933	77906117	+	4.82	0.684	non-coding (NR_028339, exon 1 of 3)	non-coding (NR_028339, exon 1 of 3)	218	NR_028340	100130522	Hs.352602	NM_001145731	ENSG00000267270	PARD6G-AS1	-	PARD6G antisense RNA 1	ncRNA
chr12-77	chr12	117768241	117768425	+	4.82	0.705	exon (NM_000620, exon 2 of 29)	exon (NM_000620, exon 2 of 29)	-21118	NM_001204214	4842	Hs.654410	NM_000620	ENSG00000089250	NOS1	IHPS1|N-NOS|NC-NOS|NOS|bNOS|nNOS	nitric oxide synthase 1	protein-coding
chr1-676	chr1	45068336	45068520	+	4.82	0.617	intron (NM_001319957, intron 1 of 13)	intron (NM_001319957, intron 1 of 13)	57263	NR_049849	100847089		NR_049849	ENSG00000263381	MIR5584	-	microRNA 5584	ncRNA
chr12-131	chr12	55451322	55451506	+	4.82	0.718	Intergenic	Intergenic	37656	NM_021191	58158	Hs.591024	NM_021191	ENSG00000123307	NEUROD4	ATH-3|ATH3|Atoh3|MATH-3|MATH3|bHLHa4	neuronal differentiation 4	protein-coding
chr5-152	chr5	142625659	142625843	+	4.82	0.718	Intergenic	Intergenic	53686	NR_046816	100874372	Hs.666717	NR_046816	ENSG00000230789	ARHGAP26-IT1	-	ARHGAP26 intronic transcript 1	ncRNA
chr7-211	chr7	143952608	143952792	+	4.82	0.644	intron (NR_126023, intron 3 of 4).2	intron (NR_126023, intron 3 of 4).2	-4004	NR_002158	401428	Hs.490448	NR_002158	ENSG00000170356	OR2A20P	OR2A20	olfactory receptor family 2 subfamily A member 20 pseudogene	pseudo
chr10-313	chr10	93392783	93392967	+	4.82	0.651	promoter-TSS (NM_005398)	promoter-TSS (NM_005398)	-47	NM_005398	5507	Hs.303090	NM_005398	ENSG00000119938	PPP1R3C	PPP1R5|PTG	protein phosphatase 1 regulatory subunit 3C	protein-coding
chr7-257	chr7	157641541	157641725	+	4.82	0.604	intron (NM_001308268, intron 12 of 22)	intron (NM_001308268, intron 12 of 22)	-5644	NR_038966	100506585	Hs.661265	NR_038966		LOC100506585	-	uncharacterized LOC100506585	ncRNA
chr5-196	chr5	150051205	150051389	+	4.82	0.590	intron (NM_001122853, intron 4 of 6)	CpG-21284	10484	NM_001122853	91977	Hs.91626	NM_133371	ENSG00000164591	MYOZ3	CS-3|CS3|FATZ-3|FRP3	myozenin 3	protein-coding
chr2-362	chr2	28660425	28660609	+	4.82	0.838	Intergenic	Intergenic	-42978	NR_103831	403150	Hs.562970	NR_103831	ENSG00000229951	FLJ31356	-	uncharacterized protein FLJ31356	ncRNA
chr22-190	chr22	22711795	22711979	+	4.82	0.750	Intergenic	Intergenic	59424	NR_027293	96610	Hs.449601	NM_080926		BMS1P20	IGL|IGLV|IGLV1	BMS1 pseudogene 20	pseudo
chr14-102	chr14	74033400	74033584	+	4.82	0.667	promoter-TSS (NR_046028)	promoter-TSS (NR_046028)	-832	NR_046028	10965	Hs.446685	NM_006821	ENSG00000119673	ACOT2	CTE-IA|CTE1A|MTE1|PTE2|PTE2A|ZAP128	acyl-CoA thioesterase 2	protein-coding
chr12-93	chr12	29324288	29324472	+	4.82	0.683	intron (NM_001271783, intron 1 of 11)	SVA_F|Other|Other	22169	NM_001271783	55711	Hs.684482	NM_018099	ENSG00000064763	FAR2	HEL-S-81|MLSTD1|SDR10E2	fatty acyl-CoA reductase 2	protein-coding
chr17-313	chr17	39197415	39197599	+	4.82	0.800	exon (NM_030967, exon 1 of 1)	exon (NM_030967, exon 1 of 1)	195	NM_030967	81851	Hs.247934	NM_030967	ENSG00000188581	KRTAP1-1	HB2A|KAP1.1|KAP1.1A|KAP1.1B|KAP1.6|KAP1.7|KRTAP1.1|KRTAP1A|hKAP1.7	keratin associated protein 1-1	protein-coding
chr12-108	chr12	117529962	117530146	+	4.82	0.717	intron (NM_017899, intron 1 of 7)	intron (NM_017899, intron 1 of 7)	7167	NR_031766	54997	Hs.525709	NM_017899	ENSG00000088992	TESC	CHP3|TSC	tescalcin	protein-coding
chr15-122	chr15	66408346	66408530	+	4.82	0.725	intron (NM_032445, intron 4 of 22)	intron (NM_032445, intron 4 of 22)	75867	NR_036196	100422905		NR_036196	ENSG00000263512	MIR4311	-	microRNA 4311	ncRNA
chr8-198	chr8	21698546	21698730	+	4.82	0.692	Intergenic	Intergenic	-52251	NM_001165039	2675	Hs.441202	NM_001495	ENSG00000168546	GFRA2	GDNFRB|NRTNR-ALPHA|NTNRA|RETL2|TRNR2	GDNF family receptor alpha 2	protein-coding
chr10-305	chr10	11868843	11869027	+	4.82	0.581	intron (NM_153256, intron 1 of 3)	AluJb|SINE|Alu	3580	NM_153256	254427	Hs.435775	NM_153256	ENSG00000148426	PROSER2	C10orf47	proline and serine rich 2	protein-coding
chr5-174	chr5	17729383	17729567	+	4.82	0.771	Intergenic	AluSq2|SINE|Alu	-73728	NM_001355258	391769		NM_001355258	ENSG00000269466	H3.Y	-	histone cluster 2, H3c pseudogene	protein-coding
chr11-229	chr11	75161847	75162031	+	4.82	0.643	5' UTR (NM_001351167, exon 2 of 13)	5' UTR (NM_001351167, exon 2 of 13)	1433	NM_001351167	81544	Hs.503297	NM_030792	ENSG00000158555	GDPD5	GDE2|PP1665	glycerophosphodiester phosphodiesterase domain containing 5	protein-coding
chr3-91	chr3	138698073	138698257	+	4.82	0.703	Intergenic	AluSc8|SINE|Alu	26945	NM_001134659	729627	Hs.121314	NM_001134659	ENSG00000206260	PRR23A	-	proline rich 23A	protein-coding
chr14-147	chr14	95806689	95806873	+	4.82	0.727	Intergenic	MIRb|SINE|MIR	10860	NR_110127	101929080	Hs.525567	NR_110127	ENSG00000258630	LINC02292	-	long intergenic non-protein coding RNA 2292	ncRNA
chr1-682	chr1	54972454	54972638	+	4.82	0.658	Intergenic	Intergenic	-41355	NM_015547	26027	Hs.745173	NM_015547	ENSG00000162390	ACOT11	BFIT|STARD14|THEA|THEM1	acyl-CoA thioesterase 11	protein-coding
chr8-219	chr8	120059602	120059786	+	4.82	0.667	intron (NM_001324095, intron 3 of 7)	intron (NM_001324095, intron 3 of 7)	-19792	NM_006438	10584	Hs.176615	NM_006438	ENSG00000184374	COLEC10	3MC3|CL-34|CLL1	collectin subfamily member 10	protein-coding
chr18-51	chr18	60118294	60118478	+	4.82	0.778	Intergenic	Intergenic	-71872	NM_017742	54877	Hs.114191	NM_017742	ENSG00000141664	ZCCHC2	C18orf49	zinc finger CCHC-type containing 2	protein-coding
chr1-547	chr1	9945161	9945345	+	4.82	0.706	intron (NM_020248, intron 1 of 5)	L2c|LINE|L2	25074	NM_001012329	56998	Hs.463759	NM_020248	ENSG00000178585	CTNNBIP1	ICAT	catenin beta interacting protein 1	protein-coding
chr1-514	chr1	94279576	94279760	+	4.82	0.806	intron (NM_001261408, intron 2 of 13)	L1MC4|LINE|L1	-32720	NR_030621	100126348		NR_030621	ENSG00000211575	MIR760	MIRN760|hsa-mir-760|mir-760	microRNA 760	ncRNA
chr20-186	chr20	17550305	17550489	+	4.82	0.690	promoter-TSS (NM_001011546)	promoter-TSS (NM_001011546)	-323	NM_001011546	11034	Hs.304192	NM_006870	ENSG00000125868	DSTN	ACTDP|ADF|HEL32|bA462D18.2	destrin, actin depolymerizing factor	protein-coding
chr16-307	chr16	49083277	49083461	+	4.82	0.737	Intergenic	Intergenic	232380	NM_004352	869	Hs.458423	NM_004352	ENSG00000102924	CBLN1	-	cerebellin 1 precursor	protein-coding
chr19-418	chr19	43201393	43201577	+	4.82	0.737	Intergenic	AluY|SINE|Alu	43148	NM_021016	5671	Hs.654413	NM_021016	ENSG00000221826	PSG3	-	pregnancy specific beta-1-glycoprotein 3	protein-coding
chr6-197	chr6	74892686	74892870	+	4.82	0.676	intron (NR_110856, intron 1 of 3)	LTR28|LTR|ERV1	113611	NR_110856	101928516	Hs.384600	NR_110856	ENSG00000223786	LOC101928516	-	uncharacterized LOC101928516	ncRNA
chr14-146	chr14	95512330	95512514	+	4.82	0.590	Intergenic	L2a|LINE|L2	87418	NM_001195573	23405	Hs.87889	NM_030621	ENSG00000100697	DICER1	DCR1|Dicer|Dicer1e|GLOW|HERNA|K12H4.8-LIKE|MNG1|RMSE2	dicer 1, ribonuclease III	protein-coding
chr20-136	chr20	58633292	58633476	+	4.82	0.692	TTS (NR_126504)	TTS (NR_126504)	2404	NR_161293	284756	Hs.335319	NR_126504	ENSG00000176659	C20orf197	-	chromosome 20 open reading frame 197	ncRNA
chr1-692	chr1	43650790	43650974	+	4.82	0.700	exon (NM_001167965, exon 5 of 11)	exon (NM_001167965, exon 5 of 11)	-12641	NM_001159936	10969	Hs.346868	NM_006824	ENSG00000117395	EBNA1BP2	EBP2|NOBP|P40	EBNA1 binding protein 2	protein-coding
chr3-174	chr3	42103409	42103593	+	4.82	0.800	Intergenic	Intergenic	-25191	NR_146089	22906	Hs.535711	NM_014965	ENSG00000182606	TRAK1	EIEE68|MILT1|OIP106	trafficking kinesin protein 1	protein-coding
chr7-253	chr7	69537317	69537501	+	4.82	0.750	intron (NM_001127232, intron 2 of 4)	intron (NM_001127232, intron 2 of 4)	473948	NM_015570	26053	Hs.21631	NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
chr2-452	chr2	121291390	121291574	+	4.82	0.605	Intergenic	Intergenic	-67557	NR_027181	84931	Hs.334519	NM_032845	ENSG00000280409	LINC01101	-	long intergenic non-protein coding RNA 1101	ncRNA
chr3-182	chr3	111581957	111582141	+	4.82	0.750	intron (NM_001134439, intron 1 of 17)	intron (NM_001134439, intron 1 of 17)	3375	NM_001134439	90102	Hs.603252	NM_145753	ENSG00000144824	PHLDB2	LL5b|LL5beta	pleckstrin homology like domain family B member 2	protein-coding
chr2-395	chr2	106527406	106527590	+	4.82	0.763	Intergenic	Intergenic	59195	NM_001004720	8440	Hs.529244	NM_003581	ENSG00000071051	NCK2	GRB4|NCKbeta	NCK adaptor protein 2	protein-coding
chr9-273	chr9	137409736	137409920	+	4.82	0.643	Intergenic	L2b|LINE|L2	111422	NM_001291921	6256	Hs.590886	NM_002957	ENSG00000186350	RXRA	NR2B1	retinoid X receptor alpha	protein-coding
chr21-235	chr21	45826558	45826742	+	4.82	0.683	intron (NM_001320351, intron 19 of 30)	intron (NM_001320351, intron 19 of 30)	-18762	NM_001320352	7226	Hs.369759	NM_003307	ENSG00000142185	TRPM2	EREG1|KNP3|LTRPC2|LTrpC-2|NUDT9H|NUDT9L1|TRPC7	transient receptor potential cation channel subfamily M member 2	protein-coding
chr3-169	chr3	46985038	46985222	+	4.82	0.737	intron (NM_144716, intron 2 of 7)	intron (NM_144716, intron 2 of 7)	32861	NR_102269	151903	Hs.631918	NM_144716	ENSG00000160799	CCDC12	-	coiled-coil domain containing 12	protein-coding
chr11-220	chr11	18477704	18477888	+	4.82	0.634	5' UTR (NM_144972, exon 1 of 7)	5' UTR (NM_144972, exon 1 of 7)	393	NM_001144071	160287	Hs.668877	NM_144972	ENSG00000166800	LDHAL6A	LDH6A	lactate dehydrogenase A like 6A	protein-coding
chr1-666	chr1	201475678	201475862	+	4.82	0.542	promoter-TSS (NR_160746)	promoter-TSS (NR_160746)	197	NM_001193571	1465	Hs.108080	NM_004078	ENSG00000159176	CSRP1	CRP|CRP1|CSRP|CYRP|D1S181E|HEL-141|HEL-S-286	cysteine and glycine rich protein 1	protein-coding
chr15-149	chr15	43766215	43766399	+	4.82	0.619	intron (NM_001141980, intron 10 of 27)	LTR12C|LTR|ERV1	19047	NM_001355001	7158	Hs.440968	NM_005657	ENSG00000067369	TP53BP1	53BP1|TDRD30|p202|p53BP1	tumor protein p53 binding protein 1	protein-coding
chr10-247	chr10	79092277	79092461	+	4.82	0.738	intron (NM_001322838, intron 1 of 29)	intron (NM_001322838, intron 1 of 29)	18150	NM_001322838	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
chr7-233	chr7	158109318	158109502	+	4.82	0.659	intron (NM_001308267, intron 2 of 21)	CpG	216095	NR_030325	693180		NR_030325	ENSG00000207637	MIR595	MIRN595|hsa-mir-595	microRNA 595	ncRNA
chr1-571	chr1	64272764	64272948	+	4.82	0.846	intron (NM_005012, intron 1 of 8)	intron (NM_005012, intron 1 of 8)	33168	NM_005012	4919	Hs.128753	NM_005012	ENSG00000185483	ROR1	NTRKR1|dJ537F10.1	receptor tyrosine kinase like orphan receptor 1	protein-coding
chr1-527	chr1	115333185	115333369	+	4.82	0.667	Intergenic	SVA_D|Other|Other	-9971	NM_025073	80143	Hs.709277	NM_025073	ENSG00000052723	SIKE1	SIKE	suppressor of IKBKE 1	protein-coding
chr17-310	chr17	55976313	55976497	+	4.82	0.667	intron (NM_001271875, intron 1 of 10)	intron (NM_001271875, intron 1 of 10)	4345	NM_001292025	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
chr9-315	chr9	120053684	120053868	+	4.82	0.735	exon (NM_001365069, exon 2 of 23)	exon (NM_001365069, exon 2 of 23)	-110296	NR_003708	100124538	Hs.693445	NR_003708	ENSG00000207268	SNORA70C	U70C	small nucleolar RNA, H/ACA box 70C	snoRNA
chr17-347	chr17	80976706	80976890	+	4.82	0.737	intron (NR_135465, intron 4 of 13)	ERVL-B4-int|LTR|ERVL	-11925	NM_001320743	146712	Hs.607824	NM_001009905	ENSG00000175711	B3GNTL1	3-Gn-T8|B3GNT8|BGnT-8|beta-1|beta3Gn-T8|beta3GnTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	protein-coding
chr11-303	chr11	17003373	17003557	+	4.82	0.651	intron (NM_175058, intron 3 of 22)	intron (NM_175058, intron 3 of 22)	32496	NM_001329631	144100	Hs.12332	NM_175058	ENSG00000166689	PLEKHA7	-	pleckstrin homology domain containing A7	protein-coding
chr10-302	chr10	105236439	105236623	+	4.82	0.744	intron (NM_001129742, intron 1 of 2)	intron (NM_001129742, intron 1 of 2)	2466	NM_001129742	119395	Hs.364624	NM_182494	ENSG00000183128	CALHM3	FAM26A|bA225H22.7	calcium homeostasis modulator 3	protein-coding
chr5-173	chr5	174890921	174891105	+	4.82	0.718	Intergenic	MLT1N2|LTR|ERVL-MaLR	-14550	NM_001322981	94081	Hs.369440	NM_022754	ENSG00000164466	SFXN1	SLC56A1|TCC	sideroflexin 1	protein-coding
chr1-471	chr1	41469469	41469653	+	4.82	0.737	intron (NM_001301237, intron 8 of 14)	MLT1H2|LTR|ERVL-MaLR	-10701	NR_037868	100507178	Hs.660056	NR_037868	ENSG00000281207	SLFNL1-AS1	-	SLFNL1 antisense RNA 1	ncRNA
chr4-287	chr4	186391916	186392100	+	4.82	0.769	promoter-TSS (NR_133944)	promoter-TSS (NR_133944)	-577	NR_133944	105377590	Hs.563183	NR_133944	ENSG00000249679	LOC105377590	-	uncharacterized LOC105377590	ncRNA
chr9-231	chr9	95512027	95512211	+	4.82	0.703	intron (NM_001003800, intron 1 of 6)	intron (NM_001003800, intron 1 of 6)	14996	NM_001003800	23299	Hs.436939	NM_015250	ENSG00000185963	BICD2	SMALED2|SMALED2A|SMALED2B|bA526D8.1	BICD cargo adaptor 2	protein-coding
chr16-263	chr16	52987294	52987478	+	4.82	0.795	Intergenic	LTR16A|LTR|ERVL	99399	NR_136518	105371267	Hs.147562	NR_136518	ENSG00000277639	LOC105371267	PR-lncRNA-1	p53-regulated lncRNA 1	ncRNA
chr1-550	chr1	9997	10181	+	4.82	0.906	Intergenic	(CCCTAA)n|Simple_repeat|Simple_repeat	-1780	NR_148357	102725121	Hs.712940	NR_148357		LOC102725121	-	DEAD/H-box helicase 11 pseudogene	pseudo
chr5-202	chr5	178961280	178961464	+	4.82	0.667	Intergenic	AluJb|SINE|Alu	-16183	NM_025158	80230	Hs.306769	NM_025158	ENSG00000176783	RUFY1	RABIP4|ZFYVE12	RUN and FYVE domain containing 1	protein-coding
chr10-264	chr10	134184592	134184776	+	4.82	0.619	intron (NM_030626, intron 10 of 10)	intron (NM_030626, intron 10 of 10)	-26020	NM_138499	170394	Hs.527751	NM_138499	ENSG00000171813	PWWP2B	PWWP2|bA432J24.1|pp8607	PWWP domain containing 2B	protein-coding
chr7-174	chr7	1653731	1653915	+	4.82	0.675	promoter-TSS (NR_001288)	promoter-TSS (NR_001288)	-283	NR_001288	260341	Hs.534596	NR_001288		TFAMP1	MTTF1|TCF6L1	transcription factor A, mitochondrial pseudogene 1	pseudo
chr4_gl000193_random-24	chr4_gl000193_random	104888	105072	+	4.82	0.771	Intergenic	SST1|Satellite|centr	-16605	NR_038377	441058	Hs.130535	NR_038377		LINC01667	-	long intergenic non-protein coding RNA 1667	ncRNA
chr10-255	chr10	80927603	80927787	+	4.82	0.659	intron (NM_020338, intron 4 of 24)	intron (NM_020338, intron 4 of 24)	98972	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
chr12-161	chr12	110004292	110004476	+	4.82	0.676	intron (NM_052845, intron 3 of 8)	intron (NM_052845, intron 3 of 8)	6925	NR_038118	326625	Hs.12106	NM_052845	ENSG00000139428	MMAB	ATR|CFAP23|cblB|cob	metabolism of cobalamin associated B	protein-coding
chr15-156	chr15	22972241	22972425	+	4.82	0.730	intron (NM_001324125, intron 19 of 27)	L1MC4|LINE|L1	16578	NM_001033028	23191	Hs.26704	NM_014608	ENSG00000273749	CYFIP1	P140SRA-1|SHYC|SRA-1|SRA1	cytoplasmic FMR1 interacting protein 1	protein-coding
chr22-157	chr22	23526914	23527098	+	4.82	0.644	intron (NM_004327, intron 1 of 22)	intron (NM_004327, intron 1 of 22)	4310	NM_021574	613	Hs.517461	NM_004327	ENSG00000186716	BCR	ALL|BCR1|CML|D22S11|D22S662|PHL	BCR activator of RhoGEF and GTPase	protein-coding
chr10-237	chr10	33227501	33227685	+	4.82	0.744	intron (NM_002211, intron 1 of 15)	intron (NM_002211, intron 1 of 15)	-3107	NM_033668	3688	Hs.643813	NM_002211	ENSG00000150093	ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	integrin subunit beta 1	protein-coding
chr21-256	chr21	45887665	45887849	+	4.82	0.585	Intergenic	Intergenic	12364	NM_030891	81543	Hs.326579	NM_030891	ENSG00000160233	LRRC3	C21orf102|C21orf30|LRRC3DN	leucine rich repeat containing 3	protein-coding
chr3-123	chr3	111643247	111643431	+	4.82	0.737	intron (NM_145753, intron 5 of 16)	intron (NM_145753, intron 5 of 16)	-54534	NM_018394	55347	Hs.477115	NM_018394	ENSG00000144827	ABHD10	-	abhydrolase domain containing 10	protein-coding
chr9-226	chr9	136181976	136182160	+	4.82	0.628	Intergenic	Intergenic	20957	NR_103874	6838	Hs.274430	NM_006753	ENSG00000148296	SURF6	RRP14	surfeit 6	protein-coding
chr7-307	chr7	150725039	150725223	+	4.82	0.605	promoter-TSS (NM_001282292)	promoter-TSS (NM_001282292)	-378	NM_001282293	11194	Hs.647118	NM_007188	ENSG00000197150	ABCB8	EST328128|M-ABC1|MABC1	ATP binding cassette subfamily B member 8	protein-coding
chr7-187	chr7	30728310	30728494	+	4.82	0.628	intron (NM_001202481, intron 2 of 13)	intron (NM_001202481, intron 2 of 13)	-6261	NM_001202482	1395	Hs.546246	NM_001883	ENSG00000106113	CRHR2	CRF-RB|CRF2|CRFR2|HM-CRF	corticotropin releasing hormone receptor 2	protein-coding
chr2-466	chr2	86245179	86245363	+	4.82	0.714	Intergenic	Intergenic	87738	NM_015425	25885	Hs.531818	NM_015425	ENSG00000068654	POLR1A	A190|AFDCIN|RPA1|RPA194|RPO1-4|RPO14	RNA polymerase I subunit A	protein-coding
chr1-640	chr1	227161267	227161451	+	4.82	0.595	intron (NM_020247, intron 4 of 14)	intron (NM_020247, intron 4 of 14)	33364	NM_020247	56997	Hs.118241	NM_020247	ENSG00000163050	COQ8A	ADCK3|ARCA2|CABC1|COQ10D4|COQ8|SCAR9	coenzyme Q8A	protein-coding
chr4-295	chr4	154044118	154044302	+	4.82	0.769	Intergenic	Intergenic	-29276	NM_001351056	23321	Hs.435711	NM_015271	ENSG00000109654	TRIM2	CMT2R|RNF86	tripartite motif containing 2	protein-coding
chr19-297	chr19	36762930	36763114	+	4.82	0.769	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-26192	NM_001366188	147929	Hs.596338	NM_152477	ENSG00000196357	ZNF565	-	zinc finger protein 565	protein-coding
chr2-446	chr2	97093960	97094144	+	4.82	0.684	Intergenic	MER83B-int|LTR|ERV1	77042	NM_001285486	93082	Hs.149219	NM_001080535	ENSG00000163121	NEURL3	LINCR|RNF132	neuralized E3 ubiquitin protein ligase 3	protein-coding
chr11-194	chr11	129194035	129194219	+	4.82	0.738	Intergenic	Intergenic	-41068	NR_145484	399975		NM_207431		LOC399975	-	uncharacterized LOC399975	ncRNA
chr4-306	chr4	130959662	130959846	+	4.82	0.634	Intergenic	LTR12C|LTR|ERV1	266980	NR_151713	107986313	Hs.112740	NR_151713	ENSG00000249618	LINC02465	-	long intergenic non-protein coding RNA 2465	ncRNA
chr9-249	chr9	117349914	117350098	+	4.82	0.690	promoter-TSS (NM_004888)	promoter-TSS (NM_004888)	-43	NM_004888	9550	Hs.388654	NM_004888	ENSG00000136888	ATP6V1G1	ATP6G|ATP6G1|ATP6GL|ATP6J|Vma10	ATPase H+ transporting V1 subunit G1	protein-coding
chr11-279	chr11	8985705	8985889	+	4.82	0.659	promoter-TSS (NR_073431)	promoter-TSS (NR_073431)	192	NM_020644	56674	Hs.501853	NM_020644	ENSG00000175348	TMEM9B	C11orf15	TMEM9 domain family member B	protein-coding
chr11-214	chr11	61418763	61418947	+	4.82	0.674	Intergenic	Intergenic	-29008	NM_006133	747	Hs.241564	NM_006133	ENSG00000134780	DAGLA	C11orf11|DAGL(ALPHA)|DAGLALPHA|NSDDR	diacylglycerol lipase alpha	protein-coding
chr9-245	chr9	95307857	95308041	+	4.82	0.641	intron (NM_001286969, intron 4 of 6)	LTR12C|LTR|ERV1	-9575	NM_001393	1842	Hs.117060	NM_001393	ENSG00000106823	ECM2	-	extracellular matrix protein 2	protein-coding
chr1-462	chr1	201280343	201280527	+	4.82	0.795	intron (NM_001005337, intron 2 of 13)	intron (NM_001005337, intron 2 of 13)	27801	NM_001005337	5317	Hs.497350	NM_000299	ENSG00000081277	PKP1	B6P	plakophilin 1	protein-coding
chr12-119	chr12	13044052	13044236	+	4.82	0.791	5' UTR (NM_003979, exon 1 of 4)	5' UTR (NM_003979, exon 1 of 4)	188	NM_003979	9052	Hs.631733	NM_003979	ENSG00000013588	GPRC5A	GPCR5A|PEIG-1|RAI3|RAIG1|TIG1	G protein-coupled receptor class C group 5 member A	protein-coding
chr10-290	chr10	93351267	93351451	+	4.82	0.750	intron (NR_024467, intron 1 of 4)	L2c|LINE|L2	19858	NR_024467	100188947	Hs.535293	NR_024467		HECTD2-AS1	-	HECTD2 antisense RNA 1	ncRNA
chr2-455	chr2	10213151	10213335	+	4.82	0.674	intron (NM_001037160, intron 1 of 2)	intron (NM_001037160, intron 1 of 2)	7295	NM_001037160	192668	Hs.27092	NM_001037160	ENSG00000205795	CYS1	-	cystin 1	protein-coding
chr8-163	chr8	135618287	135618471	+	4.82	0.805	intron (NM_001167583, intron 5 of 15)	L2c|LINE|L2	8065	NR_002438	594840	Hs.626298	NR_002438	ENSG00000248492	ZFAT-AS1	NCRNA00070|SAS-ZFAT|ZFAT-AS|ZFATAS	ZFAT antisense RNA 1	ncRNA
chr1-515	chr1	1447211	1447395	+	4.82	0.651	promoter-TSS (NM_001170535)	promoter-TSS (NM_001170535)	-239	NM_001170535	55210	Hs.23413	NM_018188	ENSG00000197785	ATAD3A	HAYOS	ATPase family AAA domain containing 3A	protein-coding
chr2-447	chr2	1301232	1301416	+	4.82	0.758	intron (NM_018968, intron 14 of 16)	intron (NM_018968, intron 14 of 16)	-115909	NM_001206745	7173	Hs.467554	NM_000547	ENSG00000115705	TPO	MSA|TDH2A|TPX	thyroid peroxidase	protein-coding
chr18-88	chr18	74083474	74083658	+	4.82	0.650	intron (NM_014643, intron 5 of 7)	intron (NM_014643, intron 5 of 7)	-120042	NR_136504	101927989	Hs.665186	NR_136504	ENSG00000265778	LOC101927989	-	uncharacterized LOC101927989	ncRNA
chr16-365	chr16	8733420	8733604	+	4.82	0.659	intron (NR_134608, intron 5 of 9)	L2b|LINE|L2	17957	NM_024109	79091	Hs.306380	NM_024109	ENSG00000067365	METTL22	C16orf68	methyltransferase like 22	protein-coding
