PeakID (cmd=annotatePeaks.pl NEUROG3_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-41	chr22	36124935	36125348	+	0	NA	intron (NM_030642, intron 4 of 4)	intron (NM_030642, intron 4 of 4)	11222	NM_030642	80831	Hs.326561	NM_030642	ENSG00000128313	APOL5	APOL-V|APOLV	apolipoprotein L5	protein-coding
1-3072	chr2	67264613	67265026	+	0	NA	Intergenic	Intergenic	-48759	NR_110564	102800447	Hs.144196	NR_110564		LINC01828	-	long intergenic non-protein coding RNA 1828	ncRNA
1-836	chr11	63684531	63684944	+	0	NA	promoter-TSS (NM_001363648)	promoter-TSS (NM_001363648)	-101	NM_001363648	283248	Hs.98788	NM_173587	ENSG00000167771	RCOR2	-	REST corepressor 2	protein-coding
1-5190	chr7	12677786	12678199	+	0	NA	intron (NM_033128, intron 8 of 13)	intron (NM_033128, intron 8 of 13)	-48460	NM_001037164	10124	Hs.245540	NM_005738	ENSG00000122644	ARL4A	ARL4	ADP ribosylation factor like GTPase 4A	protein-coding
1-4201	chr6	137283800	137284213	+	0	NA	Intergenic	Intergenic	30362	NR_027994	100294720	Hs.520412	NR_027994	ENSG00000225391	NHEG1	-	neuroblastoma highly expressed 1	ncRNA
1-935	chr7	30072324	30072737	+	0	NA	intron (NM_001197026, intron 1 of 13)	intron (NM_001197026, intron 1 of 13)	4502	NM_001197026	84725	Hs.233495	NM_032639	ENSG00000106086	PLEKHA8	FAPP2	pleckstrin homology domain containing A8	protein-coding
1-4503	chr1	23888693	23889106	+	0	NA	Intergenic	Intergenic	-2907	NM_002167	3399	Hs.76884	NM_002167	ENSG00000117318	ID3	HEIR-1|bHLHb25	inhibitor of DNA binding 3, HLH protein	protein-coding
1-2060	chr10	46009652	46010065	+	0	NA	intron (NM_001002266, intron 2 of 6)	intron (NM_001002266, intron 2 of 6)	20961	NM_001282866	220972	Hs.499489	NM_145021	ENSG00000165406	MARCH8	CMIR|MARCH-VIII|MIR|RNF178|c-MIR	membrane associated ring-CH-type finger 8	protein-coding
1-5345	chr13	114017837	114018250	+	0	NA	intron (NM_001286732, intron 2 of 6)	CpG	402	NM_024719	79774	Hs.745043	NM_024719	ENSG00000139835	GRTP1	TBC1D6	growth hormone regulated TBC protein 1	protein-coding
1-1578	chr1	152025815	152026228	+	0	NA	Intergenic	Intergenic	-16541	NM_005620	6282	Hs.417004	NM_005620	ENSG00000163191	S100A11	HEL-S-43|MLN70|S100C	S100 calcium binding protein A11	protein-coding
1-4402	chr17	18160543	18160956	+	0	NA	intron (NM_001256265, intron 1 of 28)	intron (NM_001256265, intron 1 of 28)	1303	NM_002018	2314	Hs.513984	NM_002018	ENSG00000177731	FLII	FLI|FLIL|Fli1	FLII actin remodeling protein	protein-coding
1-1396	chr3	46984914	46985327	+	0	NA	intron (NM_144716, intron 2 of 7)	intron (NM_144716, intron 2 of 7)	32871	NR_102269	151903	Hs.631918	NM_144716	ENSG00000160799	CCDC12	-	coiled-coil domain containing 12	protein-coding
1-1989	chr1	235109516	235109929	+	0	NA	Intergenic	Intergenic	-9976	NR_125945	101927851	Hs.520684	NR_125945	ENSG00000238005	LOC101927851	-	uncharacterized LOC101927851	ncRNA
1-5096	chr3	14494383	14494796	+	0	NA	intron (NR_103507, intron 5 of 13)	intron (NR_103507, intron 5 of 13)	50483	NR_103507	6533	Hs.529488	NM_003043	ENSG00000131389	SLC6A6	TAUT	solute carrier family 6 member 6	protein-coding
1-596	chr3	197247834	197248247	+	0	NA	intron (NM_203315, intron 5 of 6)	intron (NM_203315, intron 5 of 6)	-11508	NR_145451	100129516	Hs.635286	NR_145451		LINC02012	-	long intergenic non-protein coding RNA 2012	ncRNA
1-3519	chr12	92940553	92940966	+	0	NA	Intergenic	Intergenic	80304	NR_144532	100507616	Hs.339918	NR_144532		LINC02397	-	long intergenic non-protein coding RNA 2397	ncRNA
1-7838	chr3	56830046	56830459	+	0	NA	intron (NM_001128615, intron 4 of 12)	intron (NM_001128615, intron 4 of 12)	5725	NM_019555	50650	Hs.476402	NM_019555	ENSG00000163947	ARHGEF3	GEF3|STA3|XPLN	Rho guanine nucleotide exchange factor 3	protein-coding
1-7827	chrX	71366326	71366739	+	0	NA	intron (NM_207422, intron 1 of 1)	intron (NM_207422, intron 1 of 1)	2498	NM_207422	392490	Hs.660859	NM_207422		FLJ44635	-	TPT1-like protein	protein-coding
1-7526	chr13	32519639	32520052	+	0	NA	intron (NR_027062, intron 1 of 3)	intron (NR_027062, intron 1 of 3)	85931	NR_103839	100507099	Hs.536364	NR_103839		FRY-AS1	-	FRY antisense RNA 1	ncRNA
1-3312	chr22	39150351	39150764	+	0	NA	intron (NM_015374, intron 1 of 17)	intron (NM_015374, intron 1 of 17)	914	NM_001199580	25777	Hs.517622	NM_015374	ENSG00000100242	SUN2	UNC84B	Sad1 and UNC84 domain containing 2	protein-coding
1-1981	chr1	22555323	22555736	+	0	NA	Intergenic	Intergenic	-37203	NR_039613	100616433		NR_039613	ENSG00000266564	MIR4418	-	microRNA 4418	ncRNA
1-4171	chr5	96270694	96271107	+	0	NA	promoter-TSS (NM_005575)	promoter-TSS (NM_005575)	-884	NM_005575	4012	Hs.527199	NM_005575	ENSG00000113441	LNPEP	CAP|IRAP|P-LAP|PLAP	leucyl and cystinyl aminopeptidase	protein-coding
1-2189	chr2	158295845	158296258	+	0	NA	intron (NM_004288, intron 1 of 7)	intron (NM_004288, intron 1 of 7)	4550	NM_004288	9595	Hs.270	NM_004288	ENSG00000115165	CYTIP	B3-1|CASP|CYBR|CYTHIP|HE|PSCDBP	cytohesin 1 interacting protein	protein-coding
1-7469	chr10	134290917	134291330	+	0	NA	Intergenic	Intergenic	32430	NR_149317	170393	Hs.375059	NR_149317		C10orf91	-	chromosome 10 open reading frame 91 (putative)	ncRNA
1-5531	chr1	21589300	21589713	+	0	NA	intron (NM_001113347, intron 2 of 16)	intron (NM_001113347, intron 2 of 16)	16602	NM_001113347	1889	Hs.195080	NM_001397	ENSG00000117298	ECE1	ECE	endothelin converting enzyme 1	protein-coding
1-2193	chr2	241797112	241797525	+	0	NA	Intergenic	Intergenic	-10923	NM_000030	189	Hs.144567	NM_000030	ENSG00000172482	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	alanine--glyoxylate and serine--pyruvate aminotransferase	protein-coding
1-5032	chr1	153936223	153936636	+	0	NA	promoter-TSS (NM_001271961)	promoter-TSS (NM_001271961)	-312	NM_001271961	27173	Hs.7854	NM_014437	ENSG00000143570	SLC39A1	ZIP1|ZIRTL	solute carrier family 39 member 1	protein-coding
1-5516	chr22	45089741	45090154	+	0	NA	intron (NM_001198721, intron 2 of 9)	MLT1C|LTR|ERVL-MaLR	-8131	NM_181334	553158	Hs.102336	NM_181334	ENSG00000248405	PRR5-ARHGAP8	-	PRR5-ARHGAP8 readthrough	protein-coding
1-6524	chr15	45936582	45936995	+	0	NA	intron (NM_021199, intron 1 of 9)	MER74B|LTR|ERVL	9561	NM_021199	58472	Hs.511251	NM_021199	ENSG00000137767	SQOR	CGI-44|PRO1975|SQR|SQRDL	sulfide quinone oxidoreductase	protein-coding
1-1534	chr12	49616395	49616808	+	0	NA	Intergenic	Intergenic	-5108	NM_001303114	84790	Hs.652390	NM_032704	ENSG00000167553	TUBA1C	TUBA6|bcm948	tubulin alpha 1c	protein-coding
1-1350	chr18	55712767	55713180	+	0	NA	intron (NM_001243960, intron 1 of 28)	intron (NM_001243960, intron 1 of 28)	-1485	NM_001144964	23327	Hs.185677	NM_015277	ENSG00000049759	NEDD4L	NEDD4-2|NEDD4.2|PVNH7|RSP5|hNEDD4-2	NEDD4 like E3 ubiquitin protein ligase	protein-coding
1-7105	chr1	25427785	25428198	+	0	NA	Intergenic	Intergenic	77997	NR_039623	100616365		NR_039623	ENSG00000264371	MIR4425	-	microRNA 4425	ncRNA
1-4431	chr18	20840294	20840707	+	0	NA	TTS (NR_023359)	TTS (NR_023359)	104711	NM_138375	91768	Hs.11108	NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
1-7753	chr7	123569145	123569558	+	0	NA	intron (NM_001174046, intron 1 of 4)	MER34-int|LTR|ERV1	3442	NM_001174046	6677	Hs.121494	NM_003117	ENSG00000106304	SPAM1	HEL-S-96n|HYA1|HYAL1|HYAL3|HYAL5|PH-20|PH20|SPAG15	sperm adhesion molecule 1	protein-coding
1-2391	chr5	16722009	16722422	+	0	NA	intron (NM_012334, intron 19 of 40)	intron (NM_012334, intron 19 of 40)	-105048	NM_001034850	54463	Hs.481704	NM_019000	ENSG00000154153	RETREG1	FAM134B|JK-1|JK1	reticulophagy regulator 1	protein-coding
1-1375	chr1	213746280	213746693	+	0	NA	Intergenic	Intergenic	-351606	NR_046189	100861504	Hs.742586	NR_046189		LINC00538	PROX1UT|Yiya	long intergenic non-protein coding RNA 538	ncRNA
1-5995	chr21	46560312	46560725	+	0	NA	intron (NR_027673, intron 3 of 12)	intron (NR_027673, intron 3 of 12)	-11927	NM_001346687	104	Hs.474018	NM_001112	ENSG00000197381	ADARB1	ADAR2|DRABA2|DRADA2|RED1	adenosine deaminase RNA specific B1	protein-coding
1-4739	chr9	125239610	125240023	+	0	NA	exon (NM_001004451, exon 1 of 1)	exon (NM_001004451, exon 1 of 1)	389	NM_001004451	347168	Hs.632692	NM_001004451	ENSG00000136834	OR1J1	OR9-18|hg32	olfactory receptor family 1 subfamily J member 1	protein-coding
1-6058	chr1	107985221	107985634	+	0	NA	intron (NM_001113226, intron 6 of 6)	L3|LINE|CR1	245694	NM_001079874	10451	Hs.267659	NM_006113	ENSG00000134215	VAV3	-	vav guanine nucleotide exchange factor 3	protein-coding
1-5048	chr1	213616777	213617190	+	0	NA	Intergenic	AluJr|SINE|Alu	392400	NM_012424	26750	Hs.591416	NM_012424	ENSG00000136643	RPS6KC1	RPK118|RSKL1|S6K-delta-1|S6PKh1|humS6PKh1	ribosomal protein S6 kinase C1	protein-coding
1-3800	chr7	73588205	73588618	+	0	NA	promoter-TSS (NM_022170)	promoter-TSS (NM_022170)	-275	NM_022170	7458	Hs.520943	NM_022170	ENSG00000106682	EIF4H	WBSCR1|WSCR1|eIF-4H	eukaryotic translation initiation factor 4H	protein-coding
1-112	chr7	44078673	44079086	+	0	NA	non-coding (NR_015401, exon 1 of 3)	non-coding (NR_015401, exon 1 of 3)	231	NR_072982	255031	Hs.633978	NR_015401		LINC00957	-	long intergenic non-protein coding RNA 957	ncRNA
1-2754	chr19	12868441	12868854	+	0	NA	exon (NM_017682, exon 10 of 10)	exon (NM_017682, exon 10 of 10)	6042	NM_017682	54831	Hs.435611	NM_017682	ENSG00000039987	BEST2	VMD2L1	bestrophin 2	protein-coding
1-3989	chr19	6020473	6020886	+	0	NA	TTS (NR_046376)	TTS (NR_046376)	42265	NR_046376	100128568	Hs.624525	NR_046376	ENSG00000266983	LOC100128568	-	uncharacterized LOC100128568	ncRNA
1-7822	chrX	23511989	23512402	+	0	NA	Intergenic	LTR8A|LTR|ERV1	159229	NM_173495	139411	Hs.319503	NM_173495	ENSG00000165186	PTCHD1	AUTSX4	patched domain containing 1	protein-coding
1-1605	chr6	169313419	169313832	+	0	NA	Intergenic	Intergenic	50852	NR_136248	105378146	Hs.343631	NR_136248		LOC105378146	-	uncharacterized LOC105378146	ncRNA
1-6168	chr3	127407220	127407633	+	0	NA	TTS (NM_001256585)	TTS (NM_001256585)	15631	NM_172027	80325	Hs.107812	NM_032548	ENSG00000114626	ABTB1	BPOZ|BTB3|BTBD21|EF1ABP|PP2259	ankyrin repeat and BTB domain containing 1	protein-coding
1-4814	chr12	58735613	58736026	+	0	NA	Intergenic	Intergenic	-249665	NR_126341	100506869	Hs.290456	NR_126341	ENSG00000258231	LOC100506869	-	uncharacterized LOC100506869	ncRNA
1-3885	chr12	12944929	12945342	+	0	NA	TTS (NM_030817)	TTS (NM_030817)	6542	NM_030817	81575	Hs.23388	NM_030817	ENSG00000178878	APOLD1	VERGE	apolipoprotein L domain containing 1	protein-coding
1-2669	chr10	31320514	31320927	+	0	NA	intron (NM_001143766, intron 1 of 7)	CpG	146	NR_026560	220929	Hs.660642	NM_182755	ENSG00000183621	ZNF438	bA330O11.1	zinc finger protein 438	protein-coding
1-4193	chr6	38137652	38138065	+	0	NA	3' UTR (NM_052893, exon 12 of 12)	3' UTR (NM_052893, exon 12 of 12)	-311514	NR_144472	101929425	Hs.665280	NR_144472	ENSG00000226533	BTBD9-AS1	-	BTBD9 antisense RNA 1	ncRNA
1-3335	chr1	109798103	109798516	+	0	NA	intron (NM_001408, intron 1 of 33)	intron (NM_001408, intron 1 of 33)	6148	NM_001408	1952	Hs.57652	NM_001408	ENSG00000143126	CELSR2	ADGRC2|CDHF10|EGFL2|Flamingo1|MEGF3	cadherin EGF LAG seven-pass G-type receptor 2	protein-coding
1-5030	chr1	151558138	151558551	+	0	NA	Intergenic	Intergenic	-26182	NM_030918	81609	Hs.192326	NM_030918	ENSG00000143376	SNX27	MRT1|MY014	sorting nexin 27	protein-coding
1-3120	chr6	7505363	7505776	+	0	NA	Intergenic	Intergenic	-36335	NM_001008844	1832	Hs.519873	NM_004415	ENSG00000096696	DSP	DCWHKTA|DP	desmoplakin	protein-coding
1-2482	chr14	52822651	52823064	+	0	NA	Intergenic	Intergenic	41827	NM_000956	5732	Hs.2090	NM_000956	ENSG00000125384	PTGER2	EP2	prostaglandin E receptor 2	protein-coding
1-2389	chr4	187661070	187661483	+	0	NA	Intergenic	LTR33|LTR|ERVL	-16266	NM_005245	2195	Hs.481371	NM_005245	ENSG00000083857	FAT1	CDHF7|CDHR8|FAT|ME5|hFat1	FAT atypical cadherin 1	protein-coding
1-6346	chr9	34637796	34638209	+	0	NA	promoter-TSS (NM_001282207)	promoter-TSS (NM_001282207)	-179	NM_001282206	10280	Hs.522087	NM_005866	ENSG00000147955	SIGMAR1	ALS16|DSMA2|OPRS1|SIG-1R|SR-BP|SR-BP1|SRBP|hSigmaR1|sigma1R	sigma non-opioid intracellular receptor 1	protein-coding
1-2183	chr2	60033619	60034032	+	0	NA	Intergenic	Intergenic	576346	NR_132991	106660609	Hs.565545	NR_132991	ENSG00000228590	MIR4432HG	-	MIR4432 host gene	ncRNA
1-7782	chr12	129696540	129696953	+	0	NA	non-coding (NR_110058, exon 5 of 5)	non-coding (NR_110058, exon 5 of 5)	3600	NR_110058	101927735	Hs.569212	NR_110058	ENSG00000256699	TMEM132D-AS2	-	TMEM132D antisense RNA 2	ncRNA
1-551	chr9	80659016	80659429	+	0	NA	Intergenic	Intergenic	-12495	NM_002072	2776	Hs.269782	NM_002072	ENSG00000156052	GNAQ	CMC1|G-ALPHA-q|GAQ|SWS	G protein subunit alpha q	protein-coding
1-411	chr11	1848473	1848886	+	0	NA	Intergenic	Intergenic	-6978	NM_138567	90019	Hs.161031	NM_138567	ENSG00000149043	SYT8	-	synaptotagmin 8	protein-coding
1-3160	chr9	100148613	100149026	+	0	NA	Intergenic	Intergenic	10154	NR_026847	286359	Hs.132262	NM_182600		LOC286359	-	uncharacterized LOC286359	ncRNA
1-3324	chr1	17906588	17907001	+	0	NA	promoter-TSS (NM_001011722)	promoter-TSS (NM_001011722)	-254	NM_001011722	55160	Hs.443460	NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
1-4810	chr12	51318706	51319119	+	0	NA	exon (NM_014033, exon 1 of 2)	exon (NM_014033, exon 1 of 2)	114	NM_014033	25840	Hs.711113	NM_014033	ENSG00000185432	METTL7A	AAM-B|AAMB	methyltransferase like 7A	protein-coding
1-810	chr1	51701660	51702073	+	0	NA	promoter-TSS (NM_014372)	promoter-TSS (NM_014372)	-79	NM_014372	26994	Hs.309641	NM_014372	ENSG00000123091	RNF11	CGI-123|SID1669	ring finger protein 11	protein-coding
1-2866	chr5	174662306	174662719	+	0	NA	Intergenic	MER63B|DNA|hAT-Blackjack	208673	NM_000794	1812	Hs.2624	NM_000794	ENSG00000184845	DRD1	DADR|DRD1A	dopamine receptor D1	protein-coding
1-3851	chr10	112185813	112186226	+	0	NA	Intergenic	Intergenic	-71646	NM_004419	1847	Hs.2128	NM_004419	ENSG00000138166	DUSP5	DUSP|HVH3	dual specificity phosphatase 5	protein-coding
1-1406	chr5	134345020	134345433	+	0	NA	intron (NM_178019, intron 6 of 7)	intron (NM_178019, intron 6 of 7)	-23738	NR_161235	100996485		NR_161235		C5orf66	-	chromosome 5 open reading frame 66	ncRNA
1-191	chr4	24913992	24914405	+	0	NA	intron (NM_001330644, intron 1 of 12)	intron (NM_001330644, intron 1 of 12)	402	NM_001330643	91050	Hs.106432	NM_173463	ENSG00000181982	CCDC149	-	coiled-coil domain containing 149	protein-coding
1-5420	chr17	4458594	4459007	+	0	NA	promoter-TSS (NM_001105538)	promoter-TSS (NM_001105538)	-119	NM_001105538	10514	Hs.22824	NM_014520	ENSG00000132382	MYBBP1A	P160|PAP2|Pol5	MYB binding protein 1a	protein-coding
1-27	chr1	110662560	110662973	+	0	NA	Intergenic	Intergenic	7701	NM_203412	164153	Hs.374027	NM_203412	ENSG00000186150	UBL4B	-	ubiquitin like 4B	protein-coding
1-5698	chr6	46458731	46459144	+	0	NA	promoter-TSS (NR_125837)	promoter-TSS (NR_125837)	123	NM_001251974	10231	Hs.440168	NM_005822	ENSG00000172348	RCAN2	CSP2|DSCR1L1|MCIP2|RCN2|ZAKI-4|ZAKI4	regulator of calcineurin 2	protein-coding
1-5242	chr9	136127546	136127959	+	0	NA	3' UTR (NM_020469, exon 7 of 7)	3' UTR (NM_020469, exon 7 of 7)	22865	NM_020469	28	Hs.654423	NM_020469	ENSG00000175164	ABO	A3GALNT|A3GALT1|GTB|NAGAT	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	protein-coding
1-998	chr11	36274725	36275138	+	0	NA	Intergenic	Intergenic	36043	NM_001101653	29099	Hs.99443	NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
1-7853	chr12	13543380	13543793	+	0	NA	Intergenic	Intergenic	-13907	NR_036555	283422	Hs.448717	NM_182558	ENSG00000180861	LINC01559	C12orf36	long intergenic non-protein coding RNA 1559	ncRNA
1-2760	chr19	38810300	38810713	+	0	NA	promoter-TSS (NM_004823)	promoter-TSS (NM_004823)	21	NM_004823	9424	Hs.240395	NM_004823	ENSG00000099337	KCNK6	K2p6.1|KCNK8|TOSS|TWIK-2|TWIK2	potassium two pore domain channel subfamily K member 6	protein-coding
1-5432	chr17	48012884	48013297	+	0	NA	Intergenic	Intergenic	-33464	NM_138281	1748	Hs.591167	NM_001934	ENSG00000108813	DLX4	BP1|DLX7|DLX8|DLX9|OFC15	distal-less homeobox 4	protein-coding
1-3103	chr4	57619124	57619537	+	0	NA	Intergenic	Intergenic	68309	NR_073419	6691	Hs.98243	NM_021114	ENSG00000128040	SPINK2	HUSI-II|SPGF29	serine peptidase inhibitor, Kazal type 2	protein-coding
1-2953	chr12	105352152	105352565	+	0	NA	promoter-TSS (NM_001352170)	promoter-TSS (NM_001352170)	164	NM_001352169	84102	Hs.577463	NM_032148	ENSG00000136052	SLC41A2	SLC41A1-L1	solute carrier family 41 member 2	protein-coding
1-5414	chr16	85961913	85962326	+	0	NA	Intergenic	Intergenic	10166	NR_106832	102466732		NR_106832	ENSG00000274134	MIR6774	hsa-mir-6774	microRNA 6774	ncRNA
1-1361	chr1	10746788	10747201	+	0	NA	intron (NM_001079843, intron 4 of 20)	intron (NM_001079843, intron 4 of 20)	109709	NM_001079843	54897	Hs.439894	NM_017766	ENSG00000130940	CASZ1	CAS11|CST|SRG|ZNF693|dJ734G22.1	castor zinc finger 1	protein-coding
1-2438	chr9	112093672	112094085	+	0	NA	Intergenic	Intergenic	-10634	NM_018424	54566	Hs.591901	NM_018424	ENSG00000095203	EPB41L4B	CG1|EHM2	erythrocyte membrane protein band 4.1 like 4B	protein-coding
1-587	chr19	45256550	45256963	+	0	NA	intron (NM_005178, intron 2 of 8)	intron (NM_005178, intron 2 of 8)	4791	NM_005178	602	Hs.31210	NM_005178	ENSG00000069399	BCL3	BCL4|D19S37	BCL3 transcription coactivator	protein-coding
1-2141	chr19	49946675	49947088	+	0	NA	Intergenic	CpG	-2097	NM_020309	57030	Hs.375616	NM_020309	ENSG00000104888	SLC17A7	BNPI|VGLUT1	solute carrier family 17 member 7	protein-coding
1-5049	chr1	226859748	226860161	+	0	NA	intron (NR_103784, intron 1 of 1)	LTR56|LTR|ERV1	2815	NR_103784	100506443	Hs.664293	NR_103784		ITPKB-IT1	-	ITPKB intronic transcript 1	ncRNA
1-6435	chr11	82867438	82867851	+	0	NA	promoter-TSS (NM_001346415)	promoter-TSS (NM_001346415)	-529	NM_001346415	51585	Hs.128959	NM_015885	ENSG00000165494	PCF11	-	PCF11 cleavage and polyadenylation factor subunit	protein-coding
1-3873	chr11	80410958	80411371	+	0	NA	Intergenic	LTR7|LTR|ERV1	62682	NR_120570	101928944	Hs.547927	NR_120570	ENSG00000255178	LINC02720	-	long intergenic non-protein coding RNA 2720	ncRNA
1-5448	chr18	19688625	19689038	+	0	NA	Intergenic	Intergenic	60098	NR_102763	100128893	Hs.514745	NR_102763	ENSG00000266010	GATA6-AS1	BM742401|locus5689	GATA6 antisense RNA 1 (head to head)	ncRNA
1-409	chr7	47525142	47525555	+	0	NA	intron (NM_022748, intron 3 of 30)	intron (NM_022748, intron 3 of 30)	-20947	NR_145813	109623468		NR_145813		SNORD151	-	small nucleolar RNA, C/D box 151	snoRNA
1-3357	chr2	38374008	38374421	+	0	NA	intron (NR_027252, intron 2 of 2)	L2a|LINE|L2	15967	NR_027252	285154	Hs.353894	NM_173652	ENSG00000232973	CYP1B1-AS1	C2orf58	CYP1B1 antisense RNA 1	ncRNA
1-5639	chr3	183904526	183904939	+	0	NA	intron (NM_018358, intron 3 of 20)	intron (NM_018358, intron 3 of 20)	869	NM_001351299	55324	Hs.361323	NM_018358	ENSG00000161204	ABCF3	EST201864	ATP binding cassette subfamily F member 3	protein-coding
1-6647	chr22	37766653	37767066	+	0	NA	3' UTR (NM_052906, exon 3 of 3)	3' UTR (NM_052906, exon 3 of 3)	-15980	NR_110515	100506271	Hs.220558	NR_110515	ENSG00000237862	LOC100506271	-	uncharacterized LOC100506271	ncRNA
1-7312	chr5	133582470	133582883	+	0	NA	Intergenic	Intergenic	-20912	NM_002715	5515	Hs.105818	NM_002715	ENSG00000113575	PPP2CA	NEDLBA|PP2Ac|PP2CA|PP2Calpha|RP-C	protein phosphatase 2 catalytic subunit alpha	protein-coding
1-1954	chr18	43269397	43269810	+	0	NA	Intergenic	Intergenic	-34543	NM_001308278	6563	Hs.101307	NM_015865	ENSG00000141469	SLC14A1	HUT11|HsT1341|JK|RACH1|RACH2|UT-B1|UT1|UTE	solute carrier family 14 member 1 (Kidd blood group)	protein-coding
1-4569	chr2	232230048	232230461	+	0	NA	intron (NM_001271466, intron 24 of 25)	intron (NM_001271466, intron 24 of 25)	2835	NR_039937	100616317		NR_039937	ENSG00000263641	MIR4777	-	microRNA 4777	ncRNA
1-5991	chr21	36414404	36414817	+	0	NA	intron (NM_001754, intron 2 of 8)	intron (NM_001754, intron 2 of 8)	-2887	NR_026812	80215	Hs.672131	NM_025143		RUNX1-IT1	C21orf96	RUNX1 intronic transcript 1	ncRNA
1-3202	chr11	72122838	72123251	+	0	NA	intron (NM_001258394, intron 2 of 17)	intron (NM_001258394, intron 2 of 17)	22531	NM_001258393	81570	Hs.523877	NM_030813	ENSG00000162129	CLPB	ANKCLB|HSP78|MEGCANN|MGCA7|SKD3	ClpB homolog, mitochondrial AAA ATPase chaperonin	protein-coding
1-2008	chr3	171547673	171548086	+	0	NA	Intergenic	Intergenic	-13260	NM_001164436	389177	Hs.642307	NM_001164436	ENSG00000186329	TMEM212	-	transmembrane protein 212	protein-coding
1-1506	chr7	79964639	79965052	+	0	NA	Intergenic	Intergenic	38910	NR_110075	101927269	Hs.583232	NR_110075		LOC101927269	-	uncharacterized LOC101927269	ncRNA
1-954	chr16	73030954	73031367	+	0	NA	intron (NM_006885, intron 1 of 9)	intron (NM_006885, intron 1 of 9)	50867	NM_006885	463	Hs.598297	NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ZNF927	zinc finger homeobox 3	protein-coding
1-4514	chr1	54780302	54780715	+	0	NA	intron (NM_001009955, intron 4 of 16)	intron (NM_001009955, intron 4 of 16)	78392	NR_103541	619518	Hs.591438	NM_001034847	ENSG00000198711	SSBP3-AS1	C1orf191|MST128|MSTP128	SSBP3 antisense RNA 1	ncRNA
1-4271	chr10	48543525	48543938	+	0	NA	Intergenic	Intergenic	-104566	NM_004962	2662	Hs.2171	NM_004962	ENSG00000266524	GDF10	BIP|BMP-3b|BMP3B	growth differentiation factor 10	protein-coding
1-586	chr19	18140634	18141047	+	0	NA	Intergenic	Intergenic	21861	NM_015683	27106	Hs.515249	NM_015683	ENSG00000105643	ARRDC2	CLONE24945|PP2703	arrestin domain containing 2	protein-coding
1-506	chr22	41797961	41798374	+	0	NA	Intergenic	Intergenic	20221	NM_003216	7008	Hs.181159	NM_003216	ENSG00000167074	TEF	-	TEF transcription factor, PAR bZIP family member	protein-coding
1-5812	chr11	17427159	17427572	+	0	NA	intron (NR_147094, intron 26 of 37)	intron (NR_147094, intron 26 of 37)	-16472	NM_001166290	3767	Hs.248141	NM_000525	ENSG00000187486	KCNJ11	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|TNDM3	potassium voltage-gated channel subfamily J member 11	protein-coding
