PeakID (cmd=annotatePeaks.pl 09-17ngn3_30M_peaksfdr0.05.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-61	chr3	181409663	181409895	+	12.7	0.820	intron (NR_075093, intron 4 of 4)	intron (NR_075093, intron 4 of 4)	-19933	NM_003106	6657	Hs.518438	NM_003106	ENSG00000181449	SOX2	ANOP3|MCOPS3	SRY-box 2	protein-coding
chr14-29	chr14	75100097	75100329	+	12.7	0.836	Intergenic	L2b|LINE|L2	-21179	NM_000428	4053	Hs.512776	NM_000428	ENSG00000119681	LTBP2	C14orf141|GLC3D|LTBP3|MSPKA|MSTP031|WMS3	latent transforming growth factor beta binding protein 2	protein-coding
chr17-53	chr17	55976405	55976637	+	12.7	0.810	intron (NM_001271875, intron 1 of 10)	intron (NM_001271875, intron 1 of 10)	4229	NM_001292025	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
chr2-88	chr2	164911199	164911431	+	12.7	0.889	Intergenic	Intergenic	-318798	NM_018086	55137	Hs.593650	NM_018086	ENSG00000182263	FIGN	-	fidgetin, microtubule severing factor	protein-coding
chr4-69	chr4	182487684	182487916	+	12.7	0.871	Intergenic	MamGypLTR2b|LTR|Gypsy	263326	NR_147188	105377573	Hs.333288	NR_147188	ENSG00000251336	TEMN3-AS1	-	TENM3 antisense transcript 1	ncRNA
chr10-70	chr10	127642666	127642898	+	12.7	0.906	intron (NM_001350939, intron 1 of 11)	LTR10B|LTR|ERV1	19060	NR_102707	101410540	Hs.557889	NR_102707	ENSG00000233409	FANK1-AS1	-	FANK1 antisense RNA 1	ncRNA
chr9-53	chr9	103820614	103820846	+	12.7	0.903	intron (NM_207299, intron 1 of 7)	LTR88b|LTR|Gypsy?	29699	NM_207299	54886	Hs.382683	NM_017753	ENSG00000148123	PLPPR1	LPPR1|PRG-3	phospholipid phosphatase related 1	protein-coding
chr8-66	chr8	142084875	142085107	+	12.7	0.785	Intergenic	Intergenic	-53720	NM_001352891	22898	Hs.18166	NM_014957	ENSG00000105339	DENND3	-	DENN domain containing 3	protein-coding
chr19-21	chr19	18479362	18479594	+	12.7	0.859	non-coding (NR_138029, exon 6 of 6)	non-coding (NR_138029, exon 6 of 6)	-17292	NM_004864	9518	Hs.616962	NM_004864	ENSG00000130513	GDF15	GDF-15|MIC-1|MIC1|NAG-1|PDF|PLAB|PTGFB	growth differentiation factor 15	protein-coding
chr4-73	chr4	38111657	38111889	+	12.7	0.882	promoter-TSS (NM_001253913)	promoter-TSS (NM_001253913)	-29	NM_001253913	23216	Hs.176503	NM_015173	ENSG00000065882	TBC1D1	TBC|TBC1	TBC1 domain family member 1	protein-coding
chr1-98	chr1	177312568	177312800	+	12.7	0.788	Intergenic	MER58B|DNA|hAT-Charlie	-8038	NR_126001	102724661	Hs.146628	NR_126001		LINC01645	-	long intergenic non-protein coding RNA 1645	ncRNA
chr1-92	chr1	224691202	224691434	+	12.7	0.792	intron (NM_001322302, intron 2 of 6)	intron (NM_001322302, intron 2 of 6)	68721	NR_136293	149111	Hs.731723	NM_152495	ENSG00000143786	CNIH3	CNIH-3	cornichon family AMPA receptor auxiliary protein 3	protein-coding
chr15-30	chr15	28235930	28236162	+	12.6	0.837	intron (NM_000275, intron 9 of 23)	intron (NM_000275, intron 9 of 23)	108412	NM_001300984	4948	Hs.654411	NM_000275	ENSG00000104044	OCA2	BEY|BEY1|BEY2|BOCA|D15S12|EYCL|EYCL2|EYCL3|HCL3|P|PED|SHEP1	OCA2 melanosomal transmembrane protein	protein-coding
chr2-93	chr2	171081184	171081416	+	12.6	0.874	intron (NM_001083615, intron 6 of 33)	intron (NM_001083615, intron 6 of 33)	46645	NM_001083615	140469	Hs.671900	NM_138995	ENSG00000071909	MYO3B	-	myosin IIIB	protein-coding
chr2-89	chr2	88900975	88901207	+	12.6	0.911	intron (NM_001313915, intron 2 of 16)	MER58A|DNA|hAT-Charlie	23356	NM_001313915	9451	Hs.591589	NM_004836	ENSG00000172071	EIF2AK3	PEK|PERK|WRS	eukaryotic translation initiation factor 2 alpha kinase 3	protein-coding
chr5-56	chr5	58958082	58958314	+	12.6	0.868	intron (NM_001349241, intron 4 of 17)	intron (NM_001349241, intron 4 of 17)	-75874	NM_001349242	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
chr15-31	chr15	29088014	29088246	+	12.6	0.609	intron (NR_037599, intron 12 of 13)	CT-rich|Low_complexity|Low_complexity	-42990	NM_001353792	321	Hs.618112	NM_005503	ENSG00000034053	APBA2	D15S1518E|HsT16821|LIN-10|MGC:14091|MINT2|X11-BETA|X11L	amyloid beta precursor protein binding family A member 2	protein-coding
chr5-55	chr5	81369121	81369353	+	12.6	0.859	intron (NM_031482, intron 3 of 7)	intron (NM_031482, intron 3 of 7)	101393	NM_001131028	83734	Hs.713698	NM_031482	ENSG00000152348	ATG10	APG10|APG10L|pp12616	autophagy related 10	protein-coding
chr6-66	chr6	37759250	37759482	+	12.6	0.887	Intergenic	Intergenic	-27941	NM_021943	60685	Hs.36959	NM_021943	ENSG00000156639	ZFAND3	TEX27	zinc finger AN1-type containing 3	protein-coding
chr19-20	chr19	7787194	7787426	+	12.6	0.720	Intergenic	MER1A|DNA|hAT-Charlie	9747	NM_001244856	339390	Hs.220649	NM_198492	ENSG00000182566	CLEC4G	DTTR431|LP2698|LSECtin|UNQ431	C-type lectin domain family 4 member G	protein-coding
chr16-68	chr16	4353992	4354224	+	12.6	0.832	Intergenic	Intergenic	-10654	NM_001318918	84662	Hs.592087	NM_032575	ENSG00000126603	GLIS2	NKL|NPHP7	GLIS family zinc finger 2	protein-coding
chr5-51	chr5	56279796	56280028	+	12.6	0.847	Intergenic	Intergenic	-31955	NM_001297599	166968	Hs.657594	NM_152622	ENSG00000155545	MIER3	-	MIER family member 3	protein-coding
chr20-36	chr20	22492648	22492880	+	12.6	0.701	Intergenic	Intergenic	66516	NR_001558	140828	Hs.9842	NR_001558	ENSG00000259974	LINC00261	ALIEN|C20orf56|DEANR1|HCCDR1|NCRNA00261|TCONS_00027846|onco-lncRNA-17	long intergenic non-protein coding RNA 261	ncRNA
chr2-91	chr2	239149500	239149732	+	12.6	0.845	promoter-TSS (NM_018645)	promoter-TSS (NM_018645)	-851	NM_001142853	55502	Hs.42949	NM_018645	ENSG00000144485	HES6	C-HAIRY1|HES-6|bHLHb41|bHLHc23	hes family bHLH transcription factor 6	protein-coding
chr15-29	chr15	97328169	97328401	+	12.6	0.826	exon (NM_001304805, exon 4 of 4)	exon (NM_001304805, exon 4 of 4)	1648	NM_001304804	145946	Hs.326528	NM_173499	ENSG00000185594	SPATA8	SRG8	spermatogenesis associated 8	protein-coding
chr1-103	chr1	110504264	110504496	+	12.5	0.792	Intergenic	Intergenic	-23007	NM_001242673	10768	Hs.743973	NM_006621	ENSG00000168710	AHCYL1	DCAL|IRBIT|PPP1R78|PRO0233|XPVKONA	adenosylhomocysteinase like 1	protein-coding
chr10-71	chr10	49759783	49760015	+	12.5	0.899	intron (NM_021226, intron 3 of 9)	intron (NM_021226, intron 3 of 9)	-40267	NR_146782	100689073	Hs.667964	NR_146782		ARHGAP22-IT1	-	ARHGAP22 intronic transcript 1	ncRNA
chr5-58	chr5	132485166	132485398	+	12.5	0.884	Intergenic	Intergenic	97620	NM_002154	3308	Hs.90093	NM_002154	ENSG00000170606	HSPA4	APG-2|HEL-S-5a|HS24/P52|HSPH2|RY|hsp70|hsp70RY	heat shock protein family A (Hsp70) member 4	protein-coding
chr10-72	chr10	106060565	106060797	+	12.5	0.814	Intergenic	Intergenic	-22441	NR_120622	101927472	Hs.670333	NR_120622		LOC101927472	-	uncharacterized LOC101927472	ncRNA
chr5-57	chr5	176300082	176300314	+	12.5	0.759	intron (NM_133369, intron 6 of 14)	intron (NM_133369, intron 6 of 14)	26135	NM_002115	3101	Hs.411695	NM_002115	ENSG00000160883	HK3	HKIII|HXK3	hexokinase 3	protein-coding
chr3-64	chr3	4334159	4334391	+	12.5	0.841	Intergenic	Intergenic	-10713	NM_001320678	6419	Hs.475300	NM_006515	ENSG00000170364	SETMAR	METNASE|Mar1	SET domain and mariner transposase fusion gene	protein-coding
chr9-54	chr9	85656722	85656954	+	12.5	0.902	intron (NM_152573, intron 1 of 16)	intron (NM_152573, intron 1 of 16)	21205	NM_152573	158158	Hs.129136	NM_152573	ENSG00000165105	RASEF	RAB45	RAS and EF-hand domain containing	protein-coding
chr4-71	chr4	850018	850250	+	12.5	0.630	intron (NM_005255, intron 24 of 27)	intron (NM_005255, intron 24 of 27)	-30189	NM_006651	10815	Hs.478930	NM_006651	ENSG00000168993	CPLX1	CPX-I|CPX1	complexin 1	protein-coding
chr1-102	chr1	234855275	234855507	+	12.5	0.787	Intergenic	Intergenic	-4398	NR_038856	100506810	Hs.586634	NR_038856	ENSG00000227630	LINC01132	-	long intergenic non-protein coding RNA 1132	ncRNA
chr12-36	chr12	89764656	89764888	+	12.5	0.861	Intergenic	Intergenic	-18136	NM_022652	1848	Hs.298654	NM_001946	ENSG00000139318	DUSP6	HH19|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
chr15-33	chr15	74823172	74823404	+	12.5	0.885	Intergenic	Intergenic	-10230	NM_006465	10620	Hs.647642	NM_006465	ENSG00000179361	ARID3B	BDP|DRIL2	AT-rich interaction domain 3B	protein-coding
chr2-87	chr2	231733904	231734136	+	12.5	0.842	intron (NM_001012514, intron 1 of 4)	intron (NM_001012514, intron 1 of 4)	4355	NM_001012516	81618	Hs.111577	NM_030926	ENSG00000135916	ITM2C	BRI3|BRICD2C|E25|E25C|ITM3	integral membrane protein 2C	protein-coding
chr6-69	chr6	37428059	37428291	+	12.4	0.749	intron (NM_015050, intron 10 of 23)	intron (NM_015050, intron 10 of 23)	27268	NM_015050	23070	Hs.520102	NM_015050	ENSG00000137200	CMTR1	FTSJD2|KIAA0082|MTr1|hMTr1	cap methyltransferase 1	protein-coding
chr2-99	chr2	85650689	85650921	+	12.4	0.826	intron (NM_201594, intron 4 of 20)	intron (NM_201594, intron 4 of 20)	4751	NM_201594	284948	Hs.209542	NM_198482	ENSG00000152292	SH2D6	-	SH2 domain containing 6	protein-coding
chr8-67	chr8	93618324	93618556	+	12.4	0.872	intron (NR_125827, intron 3 of 4)	intron (NR_125827, intron 3 of 4)	49282	NR_125827	102724710	Hs.125714	NR_125827	ENSG00000253634	LOC102724710	-	uncharacterized LOC102724710	ncRNA
chr17-55	chr17	56071151	56071383	+	12.4	0.750	Intergenic	Intergenic	-5642	NM_001330393	7716	Hs.463569	NM_007146	ENSG00000136451	VEZF1	DB1|ZNF161	vascular endothelial zinc finger 1	protein-coding
chr12-35	chr12	96131955	96132187	+	12.4	0.852	intron (NM_001329702, intron 2 of 9)	intron (NM_001329702, intron 2 of 9)	51902	NM_001329702	59277	Hs.201034	NM_021229	ENSG00000074527	NTN4	PRO3091	netrin 4	protein-coding
chr17-54	chr17	49012368	49012600	+	12.4	0.717	Intergenic	Intergenic	-67145	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
chr10-74	chr10	5660986	5661218	+	12.4	0.863	Intergenic	Intergenic	-23021	NR_134491	105376382	Hs.460282	NR_134491	ENSG00000242147	LOC105376382	-	uncharacterized LOC105376382	ncRNA
chr2-94	chr2	52261909	52262141	+	12.4	0.925	intron (NR_135237, intron 7 of 10)	MER34C2|LTR|ERV1	-335761	NR_135239	105374596		NR_135239	ENSG00000225444	LINC01867	-	long intergenic non-protein coding RNA 1867	ncRNA
chr12-33	chr12	113683651	113683883	+	12.4	0.824	intron (NM_001351347, intron 1 of 26)	intron (NM_001351347, intron 1 of 26)	1594	NM_001351347	53373	Hs.524763	NM_017901	ENSG00000186815	TPCN1	TPC1	two pore segment channel 1	protein-coding
chr11-65	chr11	12702282	12702514	+	12.4	0.784	intron (NM_021961, intron 2 of 12)	intron (NM_021961, intron 2 of 12)	6429	NM_021961	7003	Hs.655331	NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
chr15-32	chr15	69284116	69284348	+	12.4	0.917	intron (NR_033671, intron 2 of 16)	LTR76|LTR|ERV1	-22802	NM_001184779	79400	Hs.657932	NM_024505	ENSG00000255346	NOX5	-	NADPH oxidase 5	protein-coding
chr2-98	chr2	100503479	100503711	+	12.4	0.882	intron (NM_001025108, intron 6 of 23)	intron (NM_001025108, intron 6 of 23)	218450	NM_001025108	3899	Hs.444414	NM_002285	ENSG00000144218	AFF3	LAF4|MLLT2-like	AF4/FMR2 family member 3	protein-coding
chr12-37	chr12	95540727	95540959	+	12.4	0.793	intron (NM_018351, intron 5 of 20)	intron (NM_018351, intron 5 of 20)	70397	NM_018351	55785	Hs.506381	NM_018351	ENSG00000180263	FGD6	ZFYVE24	FYVE, RhoGEF and PH domain containing 6	protein-coding
chr3-63	chr3	134684838	134685070	+	12.4	0.852	intron (NM_004441, intron 3 of 15)	intron (NM_004441, intron 3 of 15)	170855	NM_004441	2047	Hs.116092	NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
chr1-99	chr1	24701822	24702054	+	12.4	0.817	intron (NM_178122, intron 4 of 7)	intron (NM_178122, intron 4 of 7)	-38039	NM_001322854	57185	Hs.523442	NM_020448	ENSG00000001461	NIPAL3	DJ462O23.2|NPAL3	NIPA like domain containing 3	protein-coding
chr12-34	chr12	58898397	58898629	+	12.4	0.802	Intergenic	MER117|DNA|hAT-Charlie	-86971	NR_126341	100506869	Hs.290456	NR_126341	ENSG00000258231	LOC100506869	-	uncharacterized LOC100506869	ncRNA
chr1-97	chr1	66265352	66265584	+	12.4	0.802	intron (NM_002600, intron 1 of 16)	intron (NM_002600, intron 1 of 16)	6612	NM_002600	5142	Hs.198072	NM_002600	ENSG00000184588	PDE4B	DPDE4|PDEIVB	phosphodiesterase 4B	protein-coding
chr3-65	chr3	185364027	185364259	+	12.4	0.718	intron (NM_001007225, intron 14 of 14)	intron (NM_001007225, intron 14 of 14)	60112	NM_021627	59343	Hs.401388	NM_021627	ENSG00000163904	SENP2	AXAM2|SMT3IP2	SUMO specific peptidase 2	protein-coding
chr1-100	chr1	23077679	23077911	+	12.4	0.787	intron (NM_017449, intron 1 of 15)	intron (NM_017449, intron 1 of 15)	31785	NR_039832	100616391		NR_039832	ENSG00000265422	MIR4684	-	microRNA 4684	ncRNA
chr2-96	chr2	25108683	25108915	+	12.4	0.731	intron (NM_001320613, intron 2 of 21)	L2b|LINE|L2	34087	NM_001320613	109	Hs.467898	NM_004036	ENSG00000138031	ADCY3	AC-III|AC3|BMIQ19	adenylate cyclase 3	protein-coding
chr10-73	chr10	43577638	43577870	+	12.4	0.822	intron (NM_020975, intron 1 of 19)	intron (NM_020975, intron 1 of 19)	5279	NM_020630	5979	Hs.350321	NM_000323	ENSG00000165731	RET	CDHF12|CDHR16|HSCR1|MEN2A|MEN2B|MTC1|PTC|RET-ELE1	ret proto-oncogene	protein-coding
chr11-66	chr11	109643724	109643956	+	12.4	0.783	Intergenic	Intergenic	-320247	NM_033390	85463	Hs.376289	NM_033390	ENSG00000149289	ZC3H12C	MCPIP3	zinc finger CCCH-type containing 12C	protein-coding
chr6-68	chr6	36831640	36831872	+	12.4	0.798	intron (NM_016059, intron 2 of 3)	LTR16B1|LTR|ERVL	-7890	NM_001286636	221477	Hs.433381	NM_152734	ENSG00000198663	C6orf89	BRAP|PS1TP5TP1	chromosome 6 open reading frame 89	protein-coding
chr16-69	chr16	4993335	4993567	+	12.4	0.769	Intergenic	Intergenic	-6315	NM_002705	5493	Hs.192233	NM_002705	ENSG00000118898	PPL	-	periplakin	protein-coding
chr2-95	chr2	212261514	212261746	+	12.4	0.874	intron (NM_005235, intron 25 of 27)	intron (NM_005235, intron 25 of 27)	779335	NR_002763	29034	Hs.658398	NR_002763	ENSG00000280837	CPS1-IT1	CPS1-IT|CPS1IT|CPS1IT1|PRO0132	CPS1 intronic transcript 1	ncRNA
chr9-56	chr9	110014146	110014378	+	12.4	0.813	Intergenic	Intergenic	-31255	NM_002874	5887	Hs.521640	NM_002874	ENSG00000119318	RAD23B	HHR23B|HR23B|P58	RAD23 homolog B, nucleotide excision repair protein	protein-coding
chr3-70	chr3	64857682	64857914	+	12.4	0.869	intron (NR_038264, intron 4 of 5)	intron (NR_038264, intron 4 of 5)	-184433	NM_182920	56999	Hs.656071	NM_182920	ENSG00000163638	ADAMTS9	-	ADAM metallopeptidase with thrombospondin type 1 motif 9	protein-coding
chr6-67	chr6	39307766	39307998	+	12.4	0.786	intron (NM_001289021, intron 21 of 21)	intron (NM_001289021, intron 21 of 21)	-17552	NM_001135106	83795	Hs.287765	NM_032115	ENSG00000095981	KCNK16	K2p16.1|TALK-1|TALK1	potassium two pore domain channel subfamily K member 16	protein-coding
chr20-37	chr20	48631567	48631799	+	12.3	0.940	Intergenic	Intergenic	26483	NR_051976	100887755	Hs.195705	NR_051976		TRERNA1	LINC00651|treRNA	translation regulatory long non-coding RNA 1	ncRNA
chr1-104	chr1	218535111	218535343	+	12.3	0.874	intron (NM_003238, intron 1 of 6)	intron (NM_003238, intron 1 of 6)	-16207	NR_046268	728463	Hs.568469	NR_046268	ENSG00000232480	TGFB2-AS1	-	TGFB2 antisense RNA 1 (head to head)	ncRNA
chr3-67	chr3	25197164	25197396	+	12.3	0.898	intron (NM_001290216, intron 3 of 10)	intron (NM_001290216, intron 3 of 10)	-185013	NM_001290300	5915	Hs.543218	NM_000965	ENSG00000077092	RARB	HAP|MCOPS12|NR1B2|RARbeta1|RRB2	retinoic acid receptor beta	protein-coding
chr20-39	chr20	36636007	36636239	+	12.3	0.873	intron (NM_001303457, intron 2 of 7)	intron (NM_001303457, intron 2 of 7)	25747	NM_001303457	9675	Hs.655481	NM_014657	ENSG00000101407	TTI1	KIAA0406|smg-10	TELO2 interacting protein 1	protein-coding
chr3-73	chr3	149125701	149125933	+	12.3	0.861	Intergenic	Intergenic	-30249	NM_014220	4071	Hs.351316	NM_014220	ENSG00000169908	TM4SF1	H-L6|L6|M3S1|TAAL6	transmembrane 4 L six family member 1	protein-coding
chr14-31	chr14	68987739	68987971	+	12.3	0.826	intron (NM_001321818, intron 10 of 10)	intron (NM_001321818, intron 10 of 10)	107649	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
chr5-60	chr5	121536557	121536789	+	12.3	0.867	Intergenic	Intergenic	40802	NM_001195535	100505841	Hs.733368	NM_001195535		LOC100505841	-	zinc finger protein 474-like	protein-coding
chr17-56	chr17	10287574	10287806	+	12.3	0.854	intron (NR_125367, intron 1 of 10)	intron (NR_125367, intron 1 of 10)	1241	NR_125367	100128560	Hs.661174	NR_125367		MYHAS	-	myosin heavy chain gene cluster antisense RNA	ncRNA
chr11-62	chr11	58691714	58691946	+	12.3	0.756	intron (NM_001354699, intron 2 of 7)	LTR22|LTR|ERVK	-3272	NM_001220494	92292	Hs.38085	NM_080661	ENSG00000166840	GLYATL1	GATF-C|GNAT	glycine-N-acyltransferase like 1	protein-coding
chr19-22	chr19	35547475	35547707	+	12.3	0.803	intron (NM_182983, intron 4 of 12)	L2b|LINE|L2	16181	NM_002151	3249	Hs.182385	NM_002151	ENSG00000105707	HPN	TMPRSS1	hepsin	protein-coding
chr3-72	chr3	10334424	10334656	+	12.3	0.880	promoter-TSS (NR_126505)	promoter-TSS (NR_126505)	91	NR_126505	51738	Hs.590080	NM_016362	ENSG00000157017	GHRL	MTLRP	ghrelin and obestatin prepropeptide	protein-coding
chr10-75	chr10	119262744	119262976	+	12.3	0.769	intron (NR_002791, intron 2 of 3)	intron (NR_002791, intron 2 of 3)	-39096	NM_001165924	2018	Hs.202095	NM_004098	ENSG00000170370	EMX2	-	empty spiracles homeobox 2	protein-coding
chr1-94	chr1	41837572	41837804	+	12.3	0.772	intron (NM_001291281, intron 1 of 2)	intron (NM_001291281, intron 1 of 2)	3653	NR_135817	101929901		NR_135817	ENSG00000229901	LOC101929901	-	uncharacterized LOC101929901	ncRNA
chr9-55	chr9	83412706	83412938	+	12.3	0.810	Intergenic	Intergenic	822884	NR_121212	101927477	Hs.571630	NR_121212		LINC01507	XLOC_000303	long intergenic non-protein coding RNA 1507	ncRNA
chr20-38	chr20	19767028	19767260	+	12.3	0.893	Intergenic	MLT1G|LTR|ERVL-MaLR	-100021	NM_001242581	54453	Hs.472270	NM_018993	ENSG00000132669	RIN2	MACS|RASSF4	Ras and Rab interactor 2	protein-coding
chr5-59	chr5	127292797	127293029	+	12.3	0.872	intron (NR_152813, intron 2 of 3)	intron (NR_152813, intron 2 of 3)	125954	NR_152808	644873	Hs.340623	NR_015360	ENSG00000245937	LINC01184	-	long intergenic non-protein coding RNA 1184	ncRNA
chr3-71	chr3	20844266	20844498	+	12.2	0.942	Intergenic	Intergenic	460422	NR_110814	101927829	Hs.639381	NR_110814	ENSG00000231304	LOC101927829	-	uncharacterized LOC101927829	ncRNA
chr1-108	chr1	20675156	20675388	+	12.2	0.871	intron (NM_001039500, intron 18 of 21)	intron (NM_001039500, intron 18 of 21)	57860	NM_001039500	127731	Hs.205178	NM_144623	ENSG00000158816	VWA5B1	-	von Willebrand factor A domain containing 5B1	protein-coding
chr6-70	chr6	99090039	99090271	+	12.2	0.652	Intergenic	Intergenic	189421	NR_148381	105447646	Hs.211213	NR_148381		PNKY	-	long intergenic non-protein coding RNA PNKY	ncRNA
chr2-102	chr2	85648477	85648709	+	12.2	0.749	intron (NM_201594, intron 1 of 20)	intron (NM_201594, intron 1 of 20)	2539	NM_201594	284948	Hs.209542	NM_198482	ENSG00000152292	SH2D6	-	SH2 domain containing 6	protein-coding
chr4-83	chr4	185668201	185668433	+	12.2	0.859	Intergenic	Intergenic	-13031	NR_104593	79682	Hs.575032	NM_024629	ENSG00000151725	CENPU	CENP50|CENPU50|KLIP1|MLF1IP|PBIP1	centromere protein U	protein-coding
chr1-109	chr1	160332309	160332541	+	12.2	0.775	Intergenic	Intergenic	-4436	NM_005598	4807	Hs.30956	NM_005598	ENSG00000171786	NHLH1	HEN1|NSCL|NSCL1|bHLHa35	nescient helix-loop-helix 1	protein-coding
chr13-17	chr13	43951944	43952176	+	12.2	0.804	intron (NM_001127615, intron 5 of 16)	MamRep1894|DNA|hAT	-70928	NR_120399	100874130	Hs.738887	NR_120399		ENOX1-AS2	-	ENOX1 antisense RNA 2	ncRNA
chr16-71	chr16	67430216	67430448	+	12.2	0.845	intron (NM_001323627, intron 8 of 11)	intron (NM_001323627, intron 8 of 11)	-2894	NM_015964	51673	Hs.534458	NM_015964	ENSG00000159713	TPPP3	CGI-38|TPPP/p20|p20|p25gamma	tubulin polymerization promoting protein family member 3	protein-coding
chr20-40	chr20	47223709	47223941	+	12.2	0.733	Intergenic	Intergenic	220595	NM_020820	57580	Hs.153310	NM_020820	ENSG00000124126	PREX1	P-REX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1	protein-coding
chr11-64	chr11	127495323	127495555	+	12.2	0.758	Intergenic	LTR39|LTR|ERV1	354474	NR_120580	101929497	Hs.737442	NR_120580	ENSG00000273409	LOC101929497	-	uncharacterized LOC101929497	ncRNA
chr2-101	chr2	220048979	220049211	+	12.2	0.866	3' UTR (NM_001321110, exon 9 of 9)	3' UTR (NM_001321110, exon 9 of 9)	5664	NM_001321110	79137	Hs.516707	NM_024293	ENSG00000144567	RETREG2	C2orf17|FAM134A|MAG-2	reticulophagy regulator family member 2	protein-coding
chr4-76	chr4	105512772	105513004	+	12.2	0.855	intron (NR_125926, intron 1 of 9)	intron (NR_125926, intron 1 of 9)	-96830	NM_025212	80319	Hs.12248	NM_025212	ENSG00000168772	CXXC4	IDAX	CXXC finger protein 4	protein-coding
chr8-68	chr8	127438090	127438322	+	12.2	0.808	Intergenic	Intergenic	100466	NR_125421	101927657	Hs.552133	NR_125421	ENSG00000244791	LOC101927657	-	uncharacterized LOC101927657	ncRNA
chr4-82	chr4	38134802	38135034	+	12.2	0.809	intron (NM_015173, intron 19 of 19)	intron (NM_015173, intron 19 of 19)	13343	NM_001253915	23216	Hs.176503	NM_015173	ENSG00000065882	TBC1D1	TBC|TBC1	TBC1 domain family member 1	protein-coding
chr2-103	chr2	21420267	21420499	+	12.2	0.906	Intergenic	Intergenic	73525	NM_001306137	100129278	Hs.651096	NM_001306137	ENSG00000218819	TDRD15	-	tudor domain containing 15	protein-coding
chr10-76	chr10	107906866	107907098	+	12.2	0.844	intron (NR_134330, intron 1 of 4)	MER58A|DNA|hAT-Charlie	7059	NR_134331	105378470	Hs.142910	NR_134329	ENSG00000229775	LOC105378470	-	uncharacterized LOC105378470	ncRNA
chr12-39	chr12	1466384	1466616	+	12.2	0.905	intron (NM_178040, intron 15 of 18)	intron (NM_178040, intron 15 of 18)	-143157	NR_028415	100292680	Hs.391695	NR_028415		LINC00942	-	long intergenic non-protein coding RNA 942	ncRNA
chr7-49	chr7	19898961	19899193	+	12.2	0.872	Intergenic	L1PA11|LINE|L1	-86673	NM_152774	256130	Hs.487670	NM_152774	ENSG00000173452	TMEM196	-	transmembrane protein 196	protein-coding
